order_year,order_month,order_monthname,city,category,GMV
2024,7,July,Kolkata,Grocery,195300.0
2024,7,July,Kolkata,Home & Kitchen,1951587.0
2024,7,July,Lucknow,Books,70168.0
2024,7,July,Lucknow,Electronics,5959084.0
2024,7,July,Lucknow,Fashion,446681.0
2024,7,July,Lucknow,Grocery,90320.0
2024,7,July,Lucknow,Home & Kitchen,853393.0
2024,7,July,Mumbai,Books,467557.0
2024,7,July,Mumbai,Electronics,24367153.0
2024,7,July,Mumbai,Fashion,2765535.0
2024,7,July,Mumbai,Grocery,442559.0
2024,7,July,Mumbai,Home & Kitchen,4731225.0
2024,7,July,Pune,Books,150075.0
2024,7,July,Pune,Electronics,10822809.0
2024,7,July,Pune,Fashion,955153.0
2024,7,July,Pune,Grocery,190396.0
2024,7,July,Pune,Home & Kitchen,2128174.0
2024,8,August,Ahmedabad,Books,96008.0
2024,8,August,Ahmedabad,Electronics,8870747.0
2024,8,August,Ahmedabad,Fashion,760918.0
2024,8,August,Ahmedabad,Grocery,138635.0
2024,8,August,Ahmedabad,Home & Kitchen,1664575.0
2024,8,August,Bangalore,Books,310756.0
2024,8,August,Bangalore,Electronics,18458435.0
2024,8,August,Bangalore,Fashion,1967075.0
2024,8,August,Bangalore,Grocery,342015.0
2024,8,August,Bangalore,Home & Kitchen,3873980.0
2024,8,August,Chandigarh,Books,83623.0
2024,8,August,Chandigarh,Electronics,4104447.0
2024,8,August,Chandigarh,Fashion,495034.0
2024,8,August,Chandigarh,Grocery,72411.0
2024,8,August,Chandigarh,Home & Kitchen,770650.0
2024,8,August,Chennai,Books,208602.0
2024,8,August,Chennai,Electronics,13742767.0
2024,8,August,Chennai,Fashion,1287293.0
2024,8,August,Chennai,Grocery,213999.0
2024,8,August,Chennai,Home & Kitchen,2691436.0
2024,8,August,Delhi,Books,312445.0
2024,8,August,Delhi,Electronics,23537033.0
2024,8,August,Delhi,Fashion,2077057.0
2024,8,August,Delhi,Grocery,363352.0
2024,8,August,Delhi,Home & Kitchen,4223239.0
2024,8,August,Hyderabad,Books,219927.0
2024,8,August,Hyderabad,Electronics,15680890.0
2024,8,August,Hyderabad,Fashion,1468750.0
2024,8,August,Hyderabad,Grocery,283688.0
2024,8,August,Hyderabad,Home & Kitchen,3016716.0
2024,8,August,Jaipur,Books,101436.0
2024,8,August,Jaipur,Electronics,6385465.0
2024,8,August,Jaipur,Fashion,518922.0
2024,8,August,Jaipur,Grocery,99167.0
2024,8,August,Jaipur,Home & Kitchen,1190993.0
2024,8,August,Kochi,Books,42252.0
2024,8,August,Kochi,Electronics,3174407.0
2024,8,August,Kochi,Fashion,232347.0
2024,8,August,Kochi,Grocery,63221.0
2024,8,August,Kochi,Home & Kitchen,662133.0
2024,8,August,Kolkata,Books,158419.0
2024,8,August,Kolkata,Electronics,8695665.0
2024,8,August,Kolkata,Fashion,861821.0
2024,8,August,Kolkata,Grocery,241071.0
2024,8,August,Kolkata,Home & Kitchen,2005966.0
2024,8,August,Lucknow,Books,74527.0
2024,8,August,Lucknow,Electronics,6026837.0
2024,8,August,Lucknow,Fashion,598702.0
2024,8,August,Lucknow,Grocery,94194.0
2024,8,August,Lucknow,Home & Kitchen,1004120.0
2024,8,August,Mumbai,Books,381548.0
2024,8,August,Mumbai,Electronics,25760799.0
2024,8,August,Mumbai,Fashion,2503275.0
2024,8,August,Mumbai,Grocery,445914.0
2024,8,August,Mumbai,Home & Kitchen,4886095.0
2024,8,August,Pune,Books,170763.0
2024,8,August,Pune,Electronics,13116969.0
2024,8,August,Pune,Fashion,1110003.0
2024,8,August,Pune,Grocery,237094.0
2024,8,August,Pune,Home & Kitchen,2651649.0
2024,9,September,Ahmedabad,Books,127624.0
2024,9,September,Ahmedabad,Electronics,6428946.0
2024,9,September,Ahmedabad,Fashion,753530.0
2024,9,September,Ahmedabad,Grocery,147536.0
2024,9,September,Ahmedabad,Home & Kitchen,1839139.0
2024,9,September,Bangalore,Books,298848.0
2024,9,September,Bangalore,Electronics,22012530.0
2024,9,September,Bangalore,Fashion,1993713.0
2024,9,September,Bangalore,Grocery,359891.0
2024,9,September,Bangalore,Home & Kitchen,4245565.0
2024,9,September,Chandigarh,Books,61489.0
2024,9,September,Chandigarh,Electronics,4310955.0
2024,9,September,Chandigarh,Fashion,526115.0
2024,9,September,Chandigarh,Grocery,70924.0
2024,9,September,Chandigarh,Home & Kitchen,626098.0
2024,9,September,Chennai,Books,210562.0
2024,9,September,Chennai,Electronics,12959119.0
2024,9,September,Chennai,Fashion,1259457.0
2024,9,September,Chennai,Grocery,221778.0
2024,9,September,Chennai,Home & Kitchen,2686436.0
2024,9,September,Delhi,Books,344695.0
2024,9,September,Delhi,Electronics,22733025.0
2024,9,September,Delhi,Fashion,2054634.0
2024,9,September,Delhi,Grocery,356435.0
2024,9,September,Delhi,Home & Kitchen,4164897.0
2024,9,September,Hyderabad,Books,243022.0
2024,9,September,Hyderabad,Electronics,14190235.0
2024,9,September,Hyderabad,Fashion,1373240.0
2024,9,September,Hyderabad,Grocery,284235.0
2024,9,September,Hyderabad,Home & Kitchen,2793660.0
2024,9,September,Jaipur,Books,106807.0
2024,9,September,Jaipur,Electronics,4878384.0
2024,9,September,Jaipur,Fashion,657738.0
2024,9,September,Jaipur,Grocery,101738.0
2024,9,September,Jaipur,Home & Kitchen,1315177.0
2024,9,September,Kochi,Books,40689.0
2024,9,September,Kochi,Electronics,1863089.0
2024,9,September,Kochi,Fashion,230136.0
2024,9,September,Kochi,Grocery,44263.0
2024,9,September,Kochi,Home & Kitchen,557024.0
2024,9,September,Kolkata,Books,139640.0
2024,9,September,Kolkata,Electronics,10690909.0
2024,9,September,Kolkata,Fashion,1082995.0
2024,9,September,Kolkata,Grocery,183039.0
2024,9,September,Kolkata,Home & Kitchen,1877492.0
2024,9,September,Lucknow,Books,73820.0
2024,9,September,Lucknow,Electronics,4728304.0
2024,9,September,Lucknow,Fashion,358116.0
2024,9,September,Lucknow,Grocery,106299.0
2024,9,September,Lucknow,Home & Kitchen,1150475.0
2024,9,September,Mumbai,Books,391440.0
2024,9,September,Mumbai,Electronics,24115050.0
2024,9,September,Mumbai,Fashion,2338120.0
2024,9,September,Mumbai,Grocery,451965.0
2024,9,September,Mumbai,Home & Kitchen,4792992.0
2024,9,September,Pune,Books,120924.0
2024,9,September,Pune,Electronics,10919299.0
2024,9,September,Pune,Fashion,1013471.0
2024,9,September,Pune,Grocery,221383.0
2024,9,September,Pune,Home & Kitchen,2135680.0
2024,10,October,Ahmedabad,Books,104734.0
2024,10,October,Ahmedabad,Electronics,7334721.0
2024,10,October,Ahmedabad,Fashion,743295.0
2024,10,October,Ahmedabad,Grocery,109823.0
2024,10,October,Ahmedabad,Home & Kitchen,1842785.0
2024,10,October,Bangalore,Books,320496.0
2024,10,October,Bangalore,Electronics,20726573.0
2024,10,October,Bangalore,Fashion,2032285.0
2024,10,October,Bangalore,Grocery,404796.0
2024,10,October,Bangalore,Home & Kitchen,4028092.0
2024,10,October,Chandigarh,Books,76153.0
2024,10,October,Chandigarh,Electronics,5110716.0
2024,10,October,Chandigarh,Fashion,517023.0
2024,10,October,Chandigarh,Grocery,82267.0
2024,10,October,Chandigarh,Home & Kitchen,1214299.0
2024,10,October,Chennai,Books,233200.0
2024,10,October,Chennai,Electronics,15777459.0
2024,10,October,Chennai,Fashion,1087267.0
2024,10,October,Chennai,Grocery,241357.0
2024,10,October,Chennai,Home & Kitchen,2675152.0
2024,10,October,Delhi,Books,421161.0
2024,10,October,Delhi,Electronics,19869544.0
2024,10,October,Delhi,Fashion,2177651.0
2024,10,October,Delhi,Grocery,409106.0
2024,10,October,Delhi,Home & Kitchen,4228447.0
2024,10,October,Hyderabad,Books,271198.0
2024,10,October,Hyderabad,Electronics,15197429.0
2024,10,October,Hyderabad,Fashion,1337908.0
2024,10,October,Hyderabad,Grocery,219509.0
2024,10,October,Hyderabad,Home & Kitchen,2632294.0
2024,10,October,Jaipur,Books,96542.0
2024,10,October,Jaipur,Electronics,5051363.0
2024,10,October,Jaipur,Fashion,537908.0
2024,10,October,Jaipur,Grocery,100378.0
2024,10,October,Jaipur,Home & Kitchen,852851.0
2024,10,October,Kochi,Books,27322.0
2024,10,October,Kochi,Electronics,3034509.0
2024,10,October,Kochi,Fashion,242169.0
2024,10,October,Kochi,Grocery,64301.0
2024,10,October,Kochi,Home & Kitchen,474685.0
2024,10,October,Kolkata,Books,147748.0
2024,10,October,Kolkata,Electronics,10292077.0
2024,10,October,Kolkata,Fashion,877135.0
2024,10,October,Kolkata,Grocery,220830.0
2024,10,October,Kolkata,Home & Kitchen,1930939.0
2024,10,October,Lucknow,Books,78617.0
2024,10,October,Lucknow,Electronics,5726867.0
2024,10,October,Lucknow,Fashion,456325.0
2024,10,October,Lucknow,Grocery,89225.0
2024,10,October,Lucknow,Home & Kitchen,1047403.0
2024,10,October,Mumbai,Books,397915.0
2024,10,October,Mumbai,Electronics,25224001.0
2024,10,October,Mumbai,Fashion,2621009.0
2024,10,October,Mumbai,Grocery,434082.0
2024,10,October,Mumbai,Home & Kitchen,5104468.0
2024,10,October,Pune,Books,204792.0
2024,10,October,Pune,Electronics,10601660.0
2024,10,October,Pune,Fashion,1112883.0
2024,10,October,Pune,Grocery,199802.0
2024,10,October,Pune,Home & Kitchen,1962682.0
2024,11,November,Ahmedabad,Books,70586.0
2024,11,November,Ahmedabad,Electronics,6159740.0
2024,11,November,Ahmedabad,Fashion,614853.0
2024,11,November,Ahmedabad,Grocery,136857.0
2024,11,November,Ahmedabad,Home & Kitchen,1260576.0
2024,11,November,Bangalore,Books,277917.0
2024,11,November,Bangalore,Electronics,20494251.0
2024,11,November,Bangalore,Fashion,2131717.0
2024,11,November,Bangalore,Grocery,361717.0
2024,11,November,Bangalore,Home & Kitchen,3569138.0
2024,11,November,Chandigarh,Books,100061.0
2024,11,November,Chandigarh,Electronics,4718790.0
2024,11,November,Chandigarh,Fashion,538900.0
2024,11,November,Chandigarh,Grocery,78911.0
2024,11,November,Chandigarh,Home & Kitchen,1008715.0
2024,11,November,Chennai,Books,206312.0
2024,11,November,Chennai,Electronics,13800922.0
2024,11,November,Chennai,Fashion,1106278.0
2024,11,November,Chennai,Grocery,278480.0
2024,11,November,Chennai,Home & Kitchen,2201803.0
2024,11,November,Delhi,Books,409717.0
2024,11,November,Delhi,Electronics,22580391.0
2024,11,November,Delhi,Fashion,2134351.0
2024,11,November,Delhi,Grocery,371931.0
2024,11,November,Delhi,Home & Kitchen,4546544.0
2024,11,November,Hyderabad,Books,228579.0
2024,11,November,Hyderabad,Electronics,13558378.0
2024,11,November,Hyderabad,Fashion,1559624.0
2024,11,November,Hyderabad,Grocery,241463.0
2024,11,November,Hyderabad,Home & Kitchen,2757079.0
2024,11,November,Jaipur,Books,76153.0
2024,11,November,Jaipur,Electronics,6765183.0
2024,11,November,Jaipur,Fashion,488086.0
2024,11,November,Jaipur,Grocery,111153.0
2024,11,November,Jaipur,Home & Kitchen,1090177.0
2024,11,November,Kochi,Books,31837.0
2024,11,November,Kochi,Electronics,3286243.0
2024,11,November,Kochi,Fashion,285471.0
2024,11,November,Kochi,Grocery,52313.0
2024,11,November,Kochi,Home & Kitchen,360828.0
2024,11,November,Kolkata,Books,160996.0
2024,11,November,Kolkata,Electronics,9742724.0
2024,11,November,Kolkata,Fashion,931858.0
2024,11,November,Kolkata,Grocery,143387.0
2024,11,November,Kolkata,Home & Kitchen,1887190.0
2024,11,November,Lucknow,Books,65441.0
2024,11,November,Lucknow,Electronics,6244962.0
2024,11,November,Lucknow,Fashion,526180.0
2024,11,November,Lucknow,Grocery,79412.0
2024,11,November,Lucknow,Home & Kitchen,1073535.0
2024,11,November,Mumbai,Books,389436.0
2024,11,November,Mumbai,Electronics,23439518.0
2024,11,November,Mumbai,Fashion,2266925.0
2024,11,November,Mumbai,Grocery,417394.0
2024,11,November,Mumbai,Home & Kitchen,4553325.0
2024,11,November,Pune,Books,234562.0
2024,11,November,Pune,Electronics,9379454.0
2024,11,November,Pune,Fashion,1036240.0
2024,11,November,Pune,Grocery,181307.0
2024,11,November,Pune,Home & Kitchen,1914203.0
2024,12,December,Ahmedabad,Books,142230.0
2024,12,December,Ahmedabad,Electronics,6954983.0
2024,12,December,Ahmedabad,Fashion,733293.0
2024,12,December,Ahmedabad,Grocery,115385.0
2024,12,December,Ahmedabad,Home & Kitchen,1412604.0
2024,12,December,Bangalore,Books,299213.0
2024,12,December,Bangalore,Electronics,21581683.0
2024,12,December,Bangalore,Fashion,1933064.0
2024,12,December,Bangalore,Grocery,429657.0
2024,12,December,Bangalore,Home & Kitchen,3815479.0
2024,12,December,Chandigarh,Books,82273.0
2024,12,December,Chandigarh,Electronics,3096538.0
2024,12,December,Chandigarh,Fashion,479499.0
2024,12,December,Chandigarh,Grocery,72981.0
2024,12,December,Chandigarh,Home & Kitchen,650453.0
2024,12,December,Chennai,Books,166943.0
2024,12,December,Chennai,Electronics,11986982.0
2024,12,December,Chennai,Fashion,1154061.0
2024,12,December,Chennai,Grocery,229642.0
2024,12,December,Chennai,Home & Kitchen,2311830.0
2024,12,December,Delhi,Books,374784.0
2024,12,December,Delhi,Electronics,20164780.0
2024,12,December,Delhi,Fashion,2189176.0
2024,12,December,Delhi,Grocery,396731.0
2024,12,December,Delhi,Home & Kitchen,4155581.0
2024,12,December,Hyderabad,Books,242914.0
2024,12,December,Hyderabad,Electronics,15252060.0
2024,12,December,Hyderabad,Fashion,1705077.0
2024,12,December,Hyderabad,Grocery,256049.0
2024,12,December,Hyderabad,Home & Kitchen,3091901.0
2024,12,December,Jaipur,Books,117412.0
2024,12,December,Jaipur,Electronics,6964822.0
2024,12,December,Jaipur,Fashion,669897.0
2024,12,December,Jaipur,Grocery,116106.0
2024,12,December,Jaipur,Home & Kitchen,1304700.0
2024,12,December,Kochi,Books,24201.0
2024,12,December,Kochi,Electronics,3542883.0
2024,12,December,Kochi,Fashion,292755.0
2024,12,December,Kochi,Grocery,59187.0
2024,12,December,Kochi,Home & Kitchen,502113.0
2024,12,December,Kolkata,Books,147726.0
2024,12,December,Kolkata,Electronics,9244136.0
2024,12,December,Kolkata,Fashion,881987.0
2024,12,December,Kolkata,Grocery,223342.0
2024,12,December,Kolkata,Home & Kitchen,2295508.0
2024,12,December,Lucknow,Books,45840.0
2024,12,December,Lucknow,Electronics,4728501.0
2024,12,December,Lucknow,Fashion,526992.0
2024,12,December,Lucknow,Grocery,116653.0
2024,12,December,Lucknow,Home & Kitchen,1356218.0
2024,12,December,Mumbai,Books,474912.0
2024,12,December,Mumbai,Electronics,25002776.0
2024,12,December,Mumbai,Fashion,2577127.0
2024,12,December,Mumbai,Grocery,505283.0
2024,12,December,Mumbai,Home & Kitchen,5376577.0
2024,12,December,Pune,Books,194978.0
2024,12,December,Pune,Electronics,11210629.0
2024,12,December,Pune,Fashion,828381.0
2024,12,December,Pune,Grocery,161787.0
2024,12,December,Pune,Home & Kitchen,1578476.0
2025,1,January,Ahmedabad,Books,106459.0
2025,1,January,Ahmedabad,Electronics,8628900.0
2025,1,January,Ahmedabad,Fashion,660228.0
2025,1,January,Ahmedabad,Grocery,106627.0
2025,1,January,Ahmedabad,Home & Kitchen,1588995.0
2025,1,January,Bangalore,Books,301976.0
2025,1,January,Bangalore,Electronics,18218615.0
2025,1,January,Bangalore,Fashion,1879497.0
2025,1,January,Bangalore,Grocery,340929.0
2025,1,January,Bangalore,Home & Kitchen,4178561.0
2025,1,January,Chandigarh,Books,86337.0
2025,1,January,Chandigarh,Electronics,3997821.0
2025,1,January,Chandigarh,Fashion,598657.0
2025,1,January,Chandigarh,Grocery,99273.0
2025,1,January,Chandigarh,Home & Kitchen,794230.0
2025,1,January,Chennai,Books,202307.0
2025,1,January,Chennai,Electronics,14663088.0
2025,1,January,Chennai,Fashion,1132909.0
2025,1,January,Chennai,Grocery,230786.0
2025,1,January,Chennai,Home & Kitchen,2234314.0
2025,1,January,Delhi,Books,357861.0
2025,1,January,Delhi,Electronics,21062451.0
2025,1,January,Delhi,Fashion,2189271.0
2025,1,January,Delhi,Grocery,387525.0
2025,1,January,Delhi,Home & Kitchen,4438662.0
2025,1,January,Hyderabad,Books,170183.0
2025,1,January,Hyderabad,Electronics,16483851.0
2025,1,January,Hyderabad,Fashion,1426026.0
2025,1,January,Hyderabad,Grocery,246674.0
2025,1,January,Hyderabad,Home & Kitchen,3427638.0
2025,1,January,Jaipur,Books,71333.0
2025,1,January,Jaipur,Electronics,5884182.0
2025,1,January,Jaipur,Fashion,518469.0
2025,1,January,Jaipur,Grocery,125523.0
2025,1,January,Jaipur,Home & Kitchen,1153708.0
2025,1,January,Kochi,Books,43623.0
2025,1,January,Kochi,Electronics,2485261.0
2025,1,January,Kochi,Fashion,220749.0
2025,1,January,Kochi,Grocery,52111.0
2025,1,January,Kochi,Home & Kitchen,363594.0
2025,1,January,Kolkata,Books,163369.0
2025,1,January,Kolkata,Electronics,8924353.0
2025,1,January,Kolkata,Fashion,891308.0
2025,1,January,Kolkata,Grocery,199483.0
2025,1,January,Kolkata,Home & Kitchen,2007988.0
2025,1,January,Lucknow,Books,96980.0
2025,1,January,Lucknow,Electronics,5887435.0
2025,1,January,Lucknow,Fashion,611071.0
2025,1,January,Lucknow,Grocery,80113.0
2025,1,January,Lucknow,Home & Kitchen,1228291.0
2025,1,January,Mumbai,Books,451029.0
2025,1,January,Mumbai,Electronics,24885578.0
2025,1,January,Mumbai,Fashion,2403631.0
2025,1,January,Mumbai,Grocery,435128.0
2025,1,January,Mumbai,Home & Kitchen,4734115.0
2025,1,January,Pune,Books,191893.0
2025,1,January,Pune,Electronics,12468196.0
2025,1,January,Pune,Fashion,1019775.0
2025,1,January,Pune,Grocery,210402.0
2025,1,January,Pune,Home & Kitchen,1862343.0
2025,2,February,Ahmedabad,Books,106710.0
2025,2,February,Ahmedabad,Electronics,8581295.0
2025,2,February,Ahmedabad,Fashion,702420.0
2025,2,February,Ahmedabad,Grocery,125716.0
2025,2,February,Ahmedabad,Home & Kitchen,1378480.0
2025,2,February,Bangalore,Books,258836.0
2025,2,February,Bangalore,Electronics,18658464.0
2025,2,February,Bangalore,Fashion,1656438.0
2025,2,February,Bangalore,Grocery,332750.0
2025,2,February,Bangalore,Home & Kitchen,3461651.0
2025,2,February,Chandigarh,Books,50189.0
2025,2,February,Chandigarh,Electronics,3694031.0
2025,2,February,Chandigarh,Fashion,352565.0
2025,2,February,Chandigarh,Grocery,86084.0
2025,2,February,Chandigarh,Home & Kitchen,755397.0
2025,2,February,Chennai,Books,155650.0
2025,2,February,Chennai,Electronics,12945658.0
2025,2,February,Chennai,Fashion,1073281.0
2025,2,February,Chennai,Grocery,228140.0
2025,2,February,Chennai,Home & Kitchen,2148043.0
2025,2,February,Delhi,Books,367157.0
2025,2,February,Delhi,Electronics,21009135.0
2025,2,February,Delhi,Fashion,2032016.0
2025,2,February,Delhi,Grocery,355376.0
2025,2,February,Delhi,Home & Kitchen,4371417.0
2025,2,February,Hyderabad,Books,177616.0
2025,2,February,Hyderabad,Electronics,13364057.0
2025,2,February,Hyderabad,Fashion,1205153.0
2025,2,February,Hyderabad,Grocery,251591.0
2025,2,February,Hyderabad,Home & Kitchen,2939743.0
2025,2,February,Jaipur,Books,65873.0
2025,2,February,Jaipur,Electronics,3847006.0
2025,2,February,Jaipur,Fashion,657288.0
2025,2,February,Jaipur,Grocery,99199.0
2025,2,February,Jaipur,Home & Kitchen,1123356.0
2025,2,February,Kochi,Books,38277.0
2025,2,February,Kochi,Electronics,2476131.0
2025,2,February,Kochi,Fashion,244991.0
2025,2,February,Kochi,Grocery,32641.0
2025,2,February,Kochi,Home & Kitchen,390051.0
2025,2,February,Kolkata,Books,158708.0
2025,2,February,Kolkata,Electronics,8487655.0
2025,2,February,Kolkata,Fashion,1011393.0
2025,2,February,Kolkata,Grocery,157813.0
2025,2,February,Kolkata,Home & Kitchen,1819367.0
2025,2,February,Lucknow,Books,91575.0
2025,2,February,Lucknow,Electronics,5846407.0
2025,2,February,Lucknow,Fashion,528682.0
2025,2,February,Lucknow,Grocery,106361.0
2025,2,February,Lucknow,Home & Kitchen,1016033.0
2025,2,February,Mumbai,Books,362344.0
2025,2,February,Mumbai,Electronics,24683381.0
2025,2,February,Mumbai,Fashion,2166198.0
2025,2,February,Mumbai,Grocery,461698.0
2025,2,February,Mumbai,Home & Kitchen,5130451.0
2025,2,February,Pune,Books,144304.0
2025,2,February,Pune,Electronics,9814252.0
2025,2,February,Pune,Fashion,843331.0
2025,2,February,Pune,Grocery,176695.0
2025,2,February,Pune,Home & Kitchen,1880278.0
2025,3,March,Ahmedabad,Books,101092.0
2025,3,March,Ahmedabad,Electronics,6105457.0
2025,3,March,Ahmedabad,Fashion,787073.0
2025,3,March,Ahmedabad,Grocery,163715.0
2025,3,March,Ahmedabad,Home & Kitchen,1484983.0
2025,3,March,Bangalore,Books,298165.0
2025,3,March,Bangalore,Electronics,21231090.0
2025,3,March,Bangalore,Fashion,2074367.0
2025,3,March,Bangalore,Grocery,360792.0
2025,3,March,Bangalore,Home & Kitchen,4206758.0
2025,3,March,Chandigarh,Books,74366.0
2025,3,March,Chandigarh,Electronics,5157880.0
2025,3,March,Chandigarh,Fashion,404230.0
2025,3,March,Chandigarh,Grocery,84438.0
2025,3,March,Chandigarh,Home & Kitchen,793462.0
2025,3,March,Chennai,Books,196774.0
2025,3,March,Chennai,Electronics,11154308.0
2025,3,March,Chennai,Fashion,1333913.0
2025,3,March,Chennai,Grocery,194650.0
2025,3,March,Chennai,Home & Kitchen,2459085.0
2025,3,March,Delhi,Books,365510.0
2025,3,March,Delhi,Electronics,22322489.0
2025,3,March,Delhi,Fashion,2213456.0
2025,3,March,Delhi,Grocery,370568.0
2025,3,March,Delhi,Home & Kitchen,4203136.0
2025,3,March,Hyderabad,Books,194324.0
2025,3,March,Hyderabad,Electronics,16108926.0
2025,3,March,Hyderabad,Fashion,1464729.0
2025,3,March,Hyderabad,Grocery,271213.0
2025,3,March,Hyderabad,Home & Kitchen,2967841.0
2025,3,March,Jaipur,Books,68733.0
2025,3,March,Jaipur,Electronics,6516850.0
2025,3,March,Jaipur,Fashion,615300.0
2025,3,March,Jaipur,Grocery,97610.0
2025,3,March,Jaipur,Home & Kitchen,1427002.0
2025,3,March,Kochi,Books,54547.0
2025,3,March,Kochi,Electronics,3664671.0
2025,3,March,Kochi,Fashion,247640.0
2025,3,March,Kochi,Grocery,43971.0
2025,3,March,Kochi,Home & Kitchen,536846.0
2025,3,March,Kolkata,Books,149929.0
2025,3,March,Kolkata,Electronics,11371633.0
2025,3,March,Kolkata,Fashion,953287.0
2025,3,March,Kolkata,Grocery,164613.0
2025,3,March,Kolkata,Home & Kitchen,1862492.0
2025,3,March,Lucknow,Books,85864.0
2025,3,March,Lucknow,Electronics,7021509.0
2025,3,March,Lucknow,Fashion,582365.0
2025,3,March,Lucknow,Grocery,120127.0
2025,3,March,Lucknow,Home & Kitchen,1070647.0
2025,3,March,Mumbai,Books,417366.0
2025,3,March,Mumbai,Electronics,23522265.0
2025,3,March,Mumbai,Fashion,2086547.0
2025,3,March,Mumbai,Grocery,490891.0
2025,3,March,Mumbai,Home & Kitchen,5338009.0
2025,3,March,Pune,Books,158876.0
2025,3,March,Pune,Electronics,10991290.0
2025,3,March,Pune,Fashion,1037995.0
2025,3,March,Pune,Grocery,195987.0
2025,3,March,Pune,Home & Kitchen,2568400.0
2025,4,April,Ahmedabad,Books,106194.0
2025,4,April,Ahmedabad,Electronics,8082381.0
2025,4,April,Ahmedabad,Fashion,617501.0
2025,4,April,Ahmedabad,Grocery,106422.0
2025,4,April,Ahmedabad,Home & Kitchen,981799.0
2025,4,April,Bangalore,Books,264260.0
2025,4,April,Bangalore,Electronics,19759595.0
2025,4,April,Bangalore,Fashion,2110788.0
2025,4,April,Bangalore,Grocery,351620.0
2025,4,April,Bangalore,Home & Kitchen,3835009.0
2025,4,April,Chandigarh,Books,48857.0
2025,4,April,Chandigarh,Electronics,4434361.0
2025,4,April,Chandigarh,Fashion,426757.0
2025,4,April,Chandigarh,Grocery,96033.0
2025,4,April,Chandigarh,Home & Kitchen,890810.0
2025,4,April,Chennai,Books,215306.0
2025,4,April,Chennai,Electronics,11670037.0
2025,4,April,Chennai,Fashion,1158889.0
2025,4,April,Chennai,Grocery,228098.0
2025,4,April,Chennai,Home & Kitchen,2139447.0
2025,4,April,Delhi,Books,358721.0
2025,4,April,Delhi,Electronics,21754791.0
2025,4,April,Delhi,Fashion,2209694.0
2025,4,April,Delhi,Grocery,417328.0
2025,4,April,Delhi,Home & Kitchen,4495751.0
2025,4,April,Hyderabad,Books,221090.0
2025,4,April,Hyderabad,Electronics,13515830.0
2025,4,April,Hyderabad,Fashion,1437100.0
2025,4,April,Hyderabad,Grocery,266892.0
2025,4,April,Hyderabad,Home & Kitchen,2939848.0
2025,4,April,Jaipur,Books,75355.0
2025,4,April,Jaipur,Electronics,4563775.0
2025,4,April,Jaipur,Fashion,544885.0
2025,4,April,Jaipur,Grocery,83433.0
2025,4,April,Jaipur,Home & Kitchen,923027.0
2025,4,April,Kochi,Books,56874.0
2025,4,April,Kochi,Electronics,2999720.0
2025,4,April,Kochi,Fashion,258103.0
2025,4,April,Kochi,Grocery,48364.0
2025,4,April,Kochi,Home & Kitchen,597822.0
2025,4,April,Kolkata,Books,158512.0
2025,4,April,Kolkata,Electronics,7842506.0
2025,4,April,Kolkata,Fashion,830002.0
2025,4,April,Kolkata,Grocery,151748.0
2025,4,April,Kolkata,Home & Kitchen,1838516.0
2025,4,April,Lucknow,Books,82591.0
