order_id,carrier,ship_to_city,delivery_status,shipping_cost,diff_hours,customer_id,order_year,order_month,order_monthname,city,is_delayed
ORD000048,Delhivery,Pune,OnTime,85.99,56.01,C09524,2024,7,July,Pune,0
ORD000049,InHouse,Delhi,OnTime,72.04,24.36,C23514,2024,7,July,Delhi,0
ORD000050,Ekart,Chennai,OnTime,112.7,20.68,C07410,2024,7,July,Chennai,0
ORD000051,BlueDart,Ahmedabad,OnTime,148.96,16.22,C14661,2024,7,July,Ahmedabad,0
ORD000052,InHouse,Mumbai,OnTime,62.01,7.39,C15225,2024,7,July,Mumbai,0
ORD000054,InHouse,Hyderabad,OnTime,61.34,17.8,C05355,2024,7,July,Hyderabad,0
ORD000055,InHouse,Mumbai,OnTime,78.14,13.73,C22812,2024,7,July,Mumbai,0
ORD000056,InHouse,Hyderabad,Late_1_2d,61.93,64.46,C24418,2024,7,July,Hyderabad,1
ORD000057,Delhivery,Delhi,OnTime,115.83,22.52,C13386,2024,7,July,Delhi,0
ORD000058,Delhivery,Kolkata,Late_1_2d,76.75,74.55,C10714,2024,7,July,Kolkata,1
ORD000059,BlueDart,Kochi,OnTime,78.01,34.59,C05934,2024,7,July,Kochi,0
ORD000060,InHouse,Mumbai,OnTime,56.41,13.77,C10988,2024,7,July,Mumbai,0
ORD000061,InHouse,Mumbai,OnTime,78.41,16.73,C23554,2024,7,July,Mumbai,0
ORD000062,InHouse,Hyderabad,OnTime,78.84,17.12,C02303,2024,7,July,Hyderabad,0
ORD000063,Ekart,Chandigarh,OnTime,93.46,29.35,C09477,2024,7,July,Chandigarh,0
ORD000064,Ekart,Kolkata,InTransit,93.27,,C20422,2024,7,July,Kolkata,0
ORD000065,BlueDart,Chandigarh,OnTime,87.25,30.04,C18670,2024,7,July,Chandigarh,0
ORD000066,Delhivery,Mumbai,Late_1_2d,62.07,62.11,C14433,2024,7,July,Mumbai,1
ORD000067,Delhivery,Pune,OnTime,87.13,29.65,C19516,2024,7,July,Pune,0
ORD000068,Ekart,Hyderabad,OnTime,77.08,15.9,C18168,2024,7,July,Hyderabad,0
ORD000070,InHouse,Hyderabad,OnTime,51.89,20.78,C16213,2024,7,July,Hyderabad,0
ORD000072,InHouse,Mumbai,OnTime,50.66,20.23,C14494,2024,7,July,Mumbai,0
ORD000073,Delhivery,Kolkata,OnTime,113.58,25.21,C05964,2024,7,July,Kolkata,0
ORD000074,Delhivery,Pune,Late_1_2d,66.16,42.37,C23191,2024,7,July,Pune,1
ORD000075,Delhivery,Mumbai,OnTime,134.89,30.62,C12267,2024,7,July,Mumbai,0
ORD000076,Ekart,Kolkata,Late_3_5d,125.62,107.02,C17570,2024,7,July,Kolkata,1
ORD000077,Delhivery,Kolkata,Late_1_2d,80.07,39.66,C00991,2024,7,July,Kolkata,1
ORD000078,Delhivery,Mumbai,OnTime,47.58,26.26,C16041,2024,7,July,Mumbai,0
ORD000080,Delhivery,Mumbai,Late_1_2d,101.11,45.62,C08327,2024,7,July,Mumbai,1
ORD000081,Delhivery,Jaipur,Late_1_2d,126.63,66.35,C22504,2024,7,July,Jaipur,1
ORD000082,Ekart,Ahmedabad,OnTime,90.79,27.19,C22249,2024,7,July,Ahmedabad,0
ORD000083,InHouse,Bangalore,OnTime,82.7,20.16,C05904,2024,7,July,Bangalore,0
ORD000084,Ekart,Ahmedabad,OnTime,75.3,15.22,C18641,2024,7,July,Ahmedabad,0
ORD000085,Delhivery,Kolkata,OnTime,116.22,12.3,C04310,2024,7,July,Kolkata,0
ORD000086,Delhivery,Lucknow,Late_1_2d,97.52,74.59,C18944,2024,7,July,Lucknow,1
ORD000087,Ekart,Chennai,OnTime,105.77,20.86,C10991,2024,7,July,Chennai,0
ORD000088,Delhivery,Mumbai,OnTime,134.71,30.73,C24442,2024,7,July,Mumbai,0
ORD000089,Ekart,Jaipur,OnTime,110.85,15.03,C13351,2024,7,July,Jaipur,0
ORD000090,Delhivery,Pune,OnTime,56.37,31.12,C11034,2024,7,July,Pune,0
ORD000091,InHouse,Bangalore,OnTime,65.67,26.14,C11120,2024,7,July,Bangalore,0
ORD000092,InHouse,Delhi,OnTime,62.37,40.65,C13520,2024,7,July,Delhi,0
ORD000093,Delhivery,Mumbai,OnTime,78.69,29.16,C02220,2024,7,July,Mumbai,0
ORD000094,Delhivery,Delhi,OnTime,101.3,21.78,C07926,2024,7,July,Delhi,0
ORD000095,InHouse,Delhi,OnTime,67.71,21.42,C21296,2024,7,July,Delhi,0
ORD000098,Ekart,Hyderabad,OnTime,127.62,31.24,C15567,2024,7,July,Hyderabad,0
ORD000099,BlueDart,Ahmedabad,OnTime,158.26,18.02,C00525,2024,7,July,Ahmedabad,0
ORD000100,Ekart,Hyderabad,Late_1_2d,126.83,34.69,C15994,2024,7,July,Hyderabad,1
ORD000102,Delhivery,Ahmedabad,InTransit,116.39,,C23381,2024,7,July,Ahmedabad,0
ORD000103,Delhivery,Jaipur,Late_3_5d,87.81,117.44,C23679,2024,7,July,Jaipur,1
ORD000104,InHouse,Delhi,Late_1_2d,61.5,42.26,C21069,2024,7,July,Delhi,1
ORD000105,BlueDart,Hyderabad,OnTime,112.9,23.63,C00748,2024,7,July,Hyderabad,0
ORD000106,Ekart,Delhi,OnTime,72.26,28.6,C08081,2024,7,July,Delhi,0
ORD000107,Ekart,Chandigarh,InTransit,99.22,,C21057,2024,7,July,Chandigarh,0
ORD000108,Ekart,Bangalore,Late_1_2d,99.71,65.7,C08571,2024,7,July,Bangalore,1
ORD000110,InHouse,Delhi,OnTime,60.71,18.76,C24982,2024,7,July,Delhi,0
ORD000111,Delhivery,Pune,Late_1_2d,80.44,58.7,C09957,2024,7,July,Pune,1
ORD000112,BlueDart,Kochi,OnTime,74.64,18.16,C18946,2024,7,July,Kochi,0
ORD000113,BlueDart,Delhi,OnTime,125.38,29.31,C13741,2024,7,July,Delhi,0
ORD000114,BlueDart,Hyderabad,Late_1_2d,137.23,49.32,C17933,2024,7,July,Hyderabad,1
ORD000116,Delhivery,Ahmedabad,Late_1_2d,86.66,68.03,C21543,2024,7,July,Ahmedabad,1
ORD000117,Ekart,Delhi,Late_1_2d,98.86,68.52,C00703,2024,7,July,Delhi,1
ORD000118,Ekart,Ahmedabad,OnTime,116.96,13.98,C03777,2024,7,July,Ahmedabad,0
ORD000119,Delhivery,Delhi,Late_1_2d,64.19,57.12,C01838,2024,7,July,Delhi,1
ORD000120,Delhivery,Mumbai,OnTime,97.77,14.6,C10485,2024,7,July,Mumbai,0
ORD000121,Delhivery,Kolkata,OnTime,109.37,24.22,C00732,2024,7,July,Kolkata,0
ORD000122,Delhivery,Kolkata,OnTime,84.27,30.94,C03300,2024,7,July,Kolkata,0
ORD000123,Delhivery,Kolkata,OnTime,107.93,31.3,C02722,2024,7,July,Kolkata,0
ORD000124,BlueDart,Bangalore,OnTime,104.18,47.67,C02379,2024,7,July,Bangalore,0
ORD000125,InHouse,Delhi,OnTime,72.74,10.01,C11510,2024,7,July,Delhi,0
ORD000126,BlueDart,Bangalore,Late_1_2d,99.12,40.67,C13783,2024,7,July,Bangalore,1
ORD000127,InHouse,Mumbai,OnTime,60.03,12.57,C04979,2024,7,July,Mumbai,0
ORD000129,Delhivery,Delhi,Late_1_2d,76.3,36.7,C01848,2024,7,July,Delhi,1
ORD000130,Delhivery,Chennai,OnTime,74.1,25.25,C19442,2024,7,July,Chennai,0
ORD000131,Ekart,Hyderabad,OnTime,86.02,16.45,C10082,2024,7,July,Hyderabad,0
ORD000132,Delhivery,Hyderabad,OnTime,126.9,30.57,C03221,2024,7,July,Hyderabad,0
ORD000133,Delhivery,Pune,OnTime,91.38,29.08,C24678,2024,7,July,Pune,0
ORD000134,Delhivery,Pune,OnTime,77.34,49.85,C02535,2024,7,July,Pune,0
ORD000136,InHouse,Mumbai,OnTime,71.98,7.48,C11901,2024,7,July,Mumbai,0
ORD000137,InHouse,Mumbai,OnTime,67.48,7.25,C13617,2024,7,July,Mumbai,0
ORD000138,Ekart,Chandigarh,OnTime,108.16,23.11,C23135,2024,7,July,Chandigarh,0
ORD000139,BlueDart,Bangalore,Late_1_2d,143.56,59.3,C12917,2024,7,July,Bangalore,1
ORD000140,Delhivery,Mumbai,InTransit,123.96,,C08765,2024,7,July,Mumbai,0
ORD000143,Ekart,Kolkata,Late_3_5d,114.61,88.17,C09330,2024,7,July,Kolkata,1
ORD000144,Ekart,Kolkata,Late_1_2d,51.84,123.8,C22566,2024,7,July,Kolkata,1
ORD000145,InHouse,Delhi,OnTime,55.41,9.52,C04804,2024,7,July,Delhi,0
ORD000146,Delhivery,Chennai,Late_1_2d,95.77,42.28,C22532,2024,7,July,Chennai,1
ORD000148,BlueDart,Pune,InTransit,69.66,,C18004,2024,7,July,Pune,0
ORD000149,Ekart,Chennai,OnTime,72.06,33.17,C20931,2024,7,July,Chennai,0
ORD000150,Delhivery,Bangalore,OnTime,94.71,12.52,C15969,2024,7,July,Bangalore,0
ORD000151,Ekart,Chennai,OnTime,98.19,12.7,C03177,2024,7,July,Chennai,0
ORD000152,Delhivery,Ahmedabad,OnTime,86.7,19.98,C00081,2024,7,July,Ahmedabad,0
ORD000153,InHouse,Bangalore,OnTime,92.5,20.26,C21694,2024,7,July,Bangalore,0
ORD000155,Delhivery,Pune,OnTime,78.9,21.85,C17159,2024,7,July,Pune,0
ORD000156,Ekart,Chennai,Late_1_2d,105.81,62.93,C12764,2024,7,July,Chennai,1
ORD000157,Delhivery,Jaipur,Late_1_2d,94.65,100.64,C19467,2024,7,July,Jaipur,1
ORD000158,InHouse,Mumbai,OnTime,85.62,16.14,C04261,2024,7,July,Mumbai,0
ORD000159,BlueDart,Bangalore,OnTime,157.33,14.52,C12280,2024,7,July,Bangalore,0
ORD000160,Ekart,Ahmedabad,OnTime,112.66,17.67,C24428,2024,7,July,Ahmedabad,0
ORD000161,BlueDart,Mumbai,OnTime,129.86,31.97,C18597,2024,7,July,Mumbai,0
ORD000162,Delhivery,Kolkata,Late_1_2d,105.25,55.83,C11854,2024,7,July,Kolkata,1
ORD000163,Delhivery,Ahmedabad,Late_1_2d,85.74,34.77,C15487,2024,7,July,Ahmedabad,1
ORD000165,BlueDart,Hyderabad,OnTime,134.36,18.42,C18387,2024,7,July,Hyderabad,0
ORD000166,InHouse,Delhi,OnTime,44.95,11.52,C15673,2024,7,July,Delhi,0
ORD000167,Ekart,Delhi,OnTime,128.2,26.25,C15393,2024,7,July,Delhi,0
ORD000168,Delhivery,Pune,OnTime,102.59,31.75,C20444,2024,7,July,Pune,0
ORD000169,InHouse,Delhi,OnTime,67.53,30.71,C09115,2024,7,July,Delhi,0
ORD000170,InHouse,Mumbai,OnTime,61.14,29.4,C05100,2024,7,July,Mumbai,0
ORD000171,Delhivery,Pune,OnTime,99.2,20.89,C24727,2024,7,July,Pune,0
ORD000173,Delhivery,Delhi,Late_1_2d,116.74,40.99,C07351,2024,7,July,Delhi,1
ORD000174,Delhivery,Mumbai,OnTime,97.32,43.02,C10871,2024,7,July,Mumbai,0
ORD000175,Delhivery,Mumbai,OnTime,69.15,18.58,C08051,2024,7,July,Mumbai,0
ORD000176,BlueDart,Hyderabad,OnTime,132.29,26.43,C14422,2024,7,July,Hyderabad,0
ORD000177,InHouse,Bangalore,OnTime,75.36,11.89,C12763,2024,7,July,Bangalore,0
ORD000178,Delhivery,Jaipur,Late_3_5d,104.71,105.6,C05538,2024,7,July,Jaipur,1
ORD000179,BlueDart,Mumbai,OnTime,120.03,35.57,C10800,2024,7,July,Mumbai,0
ORD000180,BlueDart,Mumbai,Late_1_2d,126.86,64.05,C10939,2024,7,July,Mumbai,1
ORD000181,BlueDart,Ahmedabad,OnTime,95.03,45.5,C12605,2024,7,July,Ahmedabad,0
ORD000182,Delhivery,Kolkata,OnTime,93.22,34.18,C13728,2024,7,July,Kolkata,0
ORD000183,BlueDart,Delhi,OnTime,85.27,67.42,C14544,2024,7,July,Delhi,0
ORD000184,Ekart,Kolkata,Late_3_5d,82.78,90.74,C02711,2024,7,July,Kolkata,1
ORD000185,InHouse,Mumbai,InTransit,42.89,,C06106,2024,7,July,Mumbai,0
ORD000186,Delhivery,Kolkata,OnTime,100.52,26.77,C08636,2024,7,July,Kolkata,0
ORD000187,Delhivery,Lucknow,Late_3_5d,94.51,112.58,C10880,2024,7,July,Lucknow,1
ORD000188,BlueDart,Mumbai,OnTime,144.39,20.45,C18436,2024,7,July,Mumbai,0
ORD000189,BlueDart,Mumbai,InTransit,104.2,,C10858,2024,7,July,Mumbai,0
ORD000190,BlueDart,Ahmedabad,OnTime,114.71,36.71,C05821,2024,7,July,Ahmedabad,0
ORD000191,Delhivery,Delhi,OnTime,77.56,14.48,C18338,2024,7,July,Delhi,0
ORD000192,Ekart,Kolkata,Late_3_5d,79.03,113.02,C08559,2024,7,July,Kolkata,1
ORD000193,InHouse,Hyderabad,Late_1_2d,80.69,43.63,C22593,2024,7,July,Hyderabad,1
ORD000194,Ekart,Kolkata,Late_1_2d,120.69,105.34,C21910,2024,7,July,Kolkata,1
ORD000196,Delhivery,Bangalore,OnTime,110.49,14.27,C03259,2024,7,July,Bangalore,0
ORD000197,Ekart,Mumbai,OnTime,99.14,31.5,C11387,2024,7,July,Mumbai,0
ORD000198,BlueDart,Hyderabad,OnTime,75.36,35.53,C21464,2024,7,July,Hyderabad,0
ORD000199,Delhivery,Mumbai,Late_1_2d,101.53,38.72,C21356,2024,7,July,Mumbai,1
ORD000200,InHouse,Delhi,Late_1_2d,52.8,42.87,C10000,2024,7,July,Delhi,1
ORD000201,Ekart,Delhi,Late_1_2d,78.75,53.15,C03608,2024,7,July,Delhi,1
ORD000202,Delhivery,Pune,OnTime,111.57,31.13,C19761,2024,7,July,Pune,0
ORD000203,Delhivery,Mumbai,OnTime,69.7,13.65,C13110,2024,7,July,Mumbai,0
ORD000204,BlueDart,Chennai,OnTime,99.56,13.61,C08314,2024,7,July,Chennai,0
ORD000205,Delhivery,Kolkata,OnTime,79.06,43.91,C19972,2024,7,July,Kolkata,0
ORD000206,BlueDart,Chandigarh,Late_1_2d,141.44,38.94,C06289,2024,7,July,Chandigarh,1
ORD000207,Delhivery,Delhi,InTransit,116.28,,C02106,2024,7,July,Delhi,0
ORD000208,Ekart,Delhi,OnTime,61.54,28.56,C03483,2024,7,July,Delhi,0
ORD000209,InHouse,Delhi,OnTime,69.76,28.92,C21716,2024,7,July,Delhi,0
ORD000210,Delhivery,Mumbai,InTransit,83.08,,C06028,2024,7,July,Mumbai,0
ORD000211,Ekart,Pune,OnTime,83.54,12.74,C09617,2024,7,July,Pune,0
ORD000212,InHouse,Bangalore,InTransit,32.29,,C14223,2024,7,July,Bangalore,0
ORD000213,InHouse,Mumbai,OnTime,22.81,10.07,C03058,2024,7,July,Mumbai,0
ORD000214,BlueDart,Hyderabad,OnTime,144.51,30.69,C10959,2024,7,July,Hyderabad,0
ORD000215,Delhivery,Hyderabad,Late_1_2d,82.67,61.63,C22276,2024,7,July,Hyderabad,1
ORD000216,Delhivery,Lucknow,Late_3_5d,118.18,110.5,C15868,2024,7,July,Lucknow,1
ORD000217,Ekart,Delhi,OnTime,117.85,17.82,C02963,2024,7,July,Delhi,0
ORD000218,InHouse,Bangalore,OnTime,84.01,20.45,C13475,2024,7,July,Bangalore,0
ORD000219,BlueDart,Pune,OnTime,94.23,16.08,C19525,2024,7,July,Pune,0
ORD000221,BlueDart,Chennai,OnTime,87.64,22.9,C12935,2024,7,July,Chennai,0
ORD000222,Delhivery,Hyderabad,InTransit,102.81,,C20832,2024,7,July,Hyderabad,0
ORD000223,Delhivery,Delhi,OnTime,85.27,23.78,C02567,2024,7,July,Delhi,0
ORD000224,BlueDart,Chennai,OnTime,131.73,25.28,C07947,2024,7,July,Chennai,0
ORD000225,InHouse,Mumbai,OnTime,46.97,21.12,C24914,2024,7,July,Mumbai,0
ORD000226,Delhivery,Mumbai,Late_1_2d,76.01,36.89,C20548,2024,7,July,Mumbai,1
ORD000227,Delhivery,Hyderabad,OnTime,97.78,29.07,C06434,2024,7,July,Hyderabad,0
ORD000228,Ekart,Pune,OnTime,88.27,35.55,C17875,2024,7,July,Pune,0
ORD000229,Delhivery,Mumbai,Late_1_2d,94.04,45.98,C06989,2024,7,July,Mumbai,1
ORD000230,Ekart,Delhi,Late_1_2d,106.92,45.84,C20379,2024,7,July,Delhi,1
ORD000231,Ekart,Chennai,OnTime,69.6,31.64,C19551,2024,7,July,Chennai,0
ORD000232,Ekart,Ahmedabad,OnTime,99.66,17.7,C19356,2024,7,July,Ahmedabad,0
ORD000233,Delhivery,Ahmedabad,Late_1_2d,106.58,46.49,C01407,2024,7,July,Ahmedabad,1
ORD000234,Delhivery,Mumbai,OnTime,82.78,42.63,C22939,2024,7,July,Mumbai,0
ORD000235,Ekart,Kochi,OnTime,95.16,45.67,C20320,2024,7,July,Kochi,0
ORD000236,Ekart,Mumbai,OnTime,101.16,21.93,C08390,2024,7,July,Mumbai,0
ORD000237,InHouse,Delhi,OnTime,63.83,15.33,C12511,2024,7,July,Delhi,0
ORD000238,Ekart,Lucknow,OnTime,108.64,16.35,C20243,2024,7,July,Lucknow,0
ORD000239,Ekart,Chennai,OnTime,74.22,17.21,C24894,2024,7,July,Chennai,0
ORD000240,Ekart,Pune,OnTime,83.75,52.54,C23775,2024,7,July,Pune,0
ORD000241,InHouse,Mumbai,OnTime,27.74,19.08,C15438,2024,7,July,Mumbai,0
ORD000242,Delhivery,Pune,InTransit,115.16,,C12976,2024,7,July,Pune,0
ORD000243,BlueDart,Pune,Late_1_2d,113.89,38.41,C05746,2024,7,July,Pune,1
ORD000244,Delhivery,Chennai,OnTime,78.22,25.62,C08864,2024,7,July,Chennai,0
ORD000246,Delhivery,Jaipur,OnTime,85.78,72.2,C15628,2024,7,July,Jaipur,0
ORD000247,Ekart,Jaipur,OnTime,78.03,70.97,C08020,2024,7,July,Jaipur,0
ORD000248,Delhivery,Hyderabad,OnTime,85.57,27.14,C09291,2024,7,July,Hyderabad,0
ORD000249,Ekart,Delhi,OnTime,39.01,18.81,C06163,2024,7,July,Delhi,0
ORD000250,InHouse,Mumbai,Late_1_2d,24.16,57.79,C01593,2024,7,July,Mumbai,1
ORD000251,Delhivery,Chennai,OnTime,115.56,30.17,C18961,2024,7,July,Chennai,0
ORD000253,Delhivery,Pune,OnTime,95.93,33.39,C22915,2024,7,July,Pune,0
ORD000254,Delhivery,Bangalore,OnTime,82.78,43.5,C04339,2024,7,July,Bangalore,0
ORD000255,Delhivery,Chennai,OnTime,70.17,39.65,C23889,2024,7,July,Chennai,0
ORD000256,BlueDart,Pune,OnTime,100.78,14.72,C16835,2024,7,July,Pune,0
ORD000257,Ekart,Ahmedabad,OnTime,78.05,18.11,C14780,2024,7,July,Ahmedabad,0
ORD000258,BlueDart,Chandigarh,OnTime,123.68,23.53,C24490,2024,7,July,Chandigarh,0
ORD000260,Delhivery,Bangalore,OnTime,117.56,16.21,C13994,2024,7,July,Bangalore,0
ORD000261,BlueDart,Kochi,Late_1_2d,123.61,45.22,C21783,2024,7,July,Kochi,1
ORD000262,BlueDart,Pune,OnTime,116.44,14.2,C20231,2024,7,July,Pune,0
ORD000263,InHouse,Delhi,OnTime,62.59,27.19,C13826,2024,7,July,Delhi,0
ORD000265,Delhivery,Lucknow,Late_1_2d,121.61,76.35,C06886,2024,7,July,Lucknow,1
ORD000266,Ekart,Mumbai,OnTime,115.51,29.58,C09525,2024,7,July,Mumbai,0
ORD000267,BlueDart,Mumbai,OnTime,52.52,35.86,C02828,2024,7,July,Mumbai,0
ORD000269,Delhivery,Lucknow,Late_3_5d,78.89,149.71,C09391,2024,7,July,Lucknow,1
ORD000270,InHouse,Bangalore,OnTime,81.42,35.18,C18309,2024,7,July,Bangalore,0
ORD000271,InHouse,Mumbai,OnTime,71.49,21.42,C11746,2024,7,July,Mumbai,0
ORD000272,Delhivery,Kolkata,OnTime,67.41,33.21,C03891,2024,7,July,Kolkata,0
ORD000273,InHouse,Hyderabad,OnTime,74.15,29.49,C19045,2024,7,July,Hyderabad,0
ORD000274,Delhivery,Chennai,Late_1_2d,73.16,44.92,C07933,2024,7,July,Chennai,1
ORD000275,Ekart,Chennai,OnTime,90.51,30.61,C14363,2024,7,July,Chennai,0
ORD000276,Ekart,Jaipur,Late_1_2d,95.05,48.02,C22337,2024,7,July,Jaipur,1
ORD000277,Delhivery,Mumbai,OnTime,65.92,29.62,C21924,2024,7,July,Mumbai,0
ORD000279,Delhivery,Bangalore,OnTime,87.52,35.63,C20402,2024,7,July,Bangalore,0
ORD000280,Delhivery,Hyderabad,Late_1_2d,94.5,44.6,C04902,2024,7,July,Hyderabad,1
ORD000281,Delhivery,Lucknow,Late_1_2d,89.47,146.89,C14522,2024,7,July,Lucknow,1
ORD000282,Delhivery,Mumbai,OnTime,104.83,25.73,C05572,2024,7,July,Mumbai,0
ORD000283,Ekart,Lucknow,OnTime,88.0,20.84,C08567,2024,7,July,Lucknow,0
ORD000284,Delhivery,Kolkata,OnTime,63.13,20.7,C17179,2024,7,July,Kolkata,0
ORD000285,Delhivery,Mumbai,OnTime,106.47,33.35,C00460,2024,7,July,Mumbai,0
ORD000286,Delhivery,Bangalore,OnTime,74.0,31.42,C23649,2024,7,July,Bangalore,0
ORD000287,BlueDart,Bangalore,OnTime,100.7,21.67,C22699,2024,7,July,Bangalore,0
ORD000288,Delhivery,Ahmedabad,InTransit,63.02,,C08628,2024,7,July,Ahmedabad,0
ORD000289,Delhivery,Chennai,OnTime,93.18,32.01,C20477,2024,7,July,Chennai,0
ORD000290,Delhivery,Bangalore,OnTime,105.74,32.67,C06503,2024,7,July,Bangalore,0
ORD000291,InHouse,Delhi,Late_1_2d,68.73,35.02,C00945,2024,7,July,Delhi,1
ORD000292,InHouse,Mumbai,OnTime,68.38,15.83,C22048,2024,7,July,Mumbai,0
ORD000293,InHouse,Delhi,OnTime,55.0,10.57,C09802,2024,7,July,Delhi,0
ORD000294,BlueDart,Hyderabad,OnTime,147.08,24.45,C13778,2024,7,July,Hyderabad,0
ORD000295,InHouse,Mumbai,OnTime,84.19,15.29,C22625,2024,7,July,Mumbai,0
ORD000296,BlueDart,Pune,Late_1_2d,75.98,57.9,C22525,2024,7,July,Pune,1
ORD000297,BlueDart,Mumbai,Late_1_2d,136.39,36.76,C22240,2024,7,July,Mumbai,1
ORD000298,BlueDart,Delhi,Late_1_2d,129.91,86.72,C08945,2024,7,July,Delhi,1
ORD000299,Delhivery,Delhi,OnTime,31.02,25.27,C21292,2024,7,July,Delhi,0
ORD000301,Delhivery,Mumbai,OnTime,100.49,28.09,C19458,2024,7,July,Mumbai,0
ORD000302,BlueDart,Lucknow,Late_1_2d,116.33,40.65,C19033,2024,7,July,Lucknow,1
ORD000303,BlueDart,Mumbai,OnTime,119.18,43.85,C18329,2024,7,July,Mumbai,0
ORD000304,BlueDart,Bangalore,OnTime,119.43,18.75,C11935,2024,7,July,Bangalore,0
ORD000305,Delhivery,Ahmedabad,OnTime,81.18,31.9,C21627,2024,7,July,Ahmedabad,0
ORD000306,Delhivery,Delhi,OnTime,77.22,17.77,C16617,2024,7,July,Delhi,0
ORD000307,Delhivery,Lucknow,Late_3_5d,88.95,118.68,C14175,2024,7,July,Lucknow,1
ORD000308,InHouse,Delhi,OnTime,50.69,35.76,C01341,2024,7,July,Delhi,0
ORD000309,Delhivery,Pune,Late_1_2d,55.75,32.5,C05245,2024,7,July,Pune,1
ORD000310,BlueDart,Chennai,OnTime,129.6,22.76,C08259,2024,7,July,Chennai,0
