shipment_id,order_id,carrier,shipped_at,delivered_at,ship_from_city,ship_to_city,shipping_cost,delivery_status
SH000023,ORD000028,InHouse,2024-07-01 11:30:26,2024-07-02 01:33:15,Pune,Hyderabad,68.41,OnTime
SH000024,ORD000029,Delhivery,2024-07-01 06:12:18,2024-07-02 16:16:00,Pune,Chennai,107.23,OnTime
SH000025,ORD000030,Delhivery,2024-07-01 10:16:12,2024-07-04 07:34:28,Delhi,Mumbai,113.45,Late_1_2d
SH000026,ORD000031,BlueDart,2024-07-01 04:58:21,,Kolkata,Hyderabad,147.69,InTransit
SH000027,ORD000032,Ekart,2024-07-01 12:20:16,2024-07-02 14:15:12,Delhi,Chennai,83.75,OnTime
SH000028,ORD000033,InHouse,2024-07-01 11:32:27,2024-07-02 22:28:52,Kolkata,Mumbai,51.36,OnTime
SH000029,ORD000035,Ekart,2024-07-01 07:56:55,2024-07-01 21:55:26,Bangalore,Mumbai,74.32,OnTime
SH000030,ORD000036,Ekart,2024-07-01 13:17:39,2024-07-02 16:39:15,Bangalore,Ahmedabad,70.02,OnTime
SH000031,ORD000037,Delhivery,2024-07-01 11:17:31,2024-07-02 05:57:04,Mumbai,Chennai,110.96,OnTime
SH000032,ORD000038,BlueDart,2024-07-01 10:11:16,2024-07-02 20:31:29,Kolkata,Bangalore,152.3,OnTime
SH000033,ORD000039,Delhivery,2024-07-01 06:23:47,2024-07-01 22:38:59,Pune,Hyderabad,86.52,OnTime
SH000034,ORD000040,BlueDart,2024-07-01 09:20:58,2024-07-02 07:57:19,Pune,Ahmedabad,110.97,OnTime
SH000035,ORD000041,BlueDart,2024-07-01 11:48:59,2024-07-02 08:51:16,Chennai,Kochi,104.77,OnTime
SH000036,ORD000042,BlueDart,2024-07-01 05:04:01,2024-07-02 07:48:35,Mumbai,Mumbai,90.62,OnTime
SH000037,ORD000043,BlueDart,2024-07-01 12:42:27,2024-07-02 15:30:26,Kolkata,Lucknow,99.92,OnTime
SH000038,ORD000044,InHouse,2024-07-01 12:34:57,2024-07-02 00:23:39,Chandigarh,Mumbai,82.71,OnTime
SH000039,ORD000045,BlueDart,2024-07-01 05:42:10,,Jaipur,Kolkata,144.51,InTransit
SH000040,ORD000046,InHouse,2024-07-01 10:01:34,,Kolkata,Mumbai,63.77,InTransit
SH000041,ORD000047,Delhivery,2024-07-01 11:00:37,2024-07-02 08:22:29,Mumbai,Chennai,110.12,OnTime
SH000042,ORD000048,Delhivery,2024-07-01 12:33:23,2024-07-03 20:33:52,Mumbai,Pune,85.99,OnTime
SH000043,ORD000049,InHouse,2024-07-01 14:02:13,2024-07-02 14:23:44,Mumbai,Delhi,72.04,OnTime
SH000044,ORD000050,Ekart,2024-07-01 09:45:16,2024-07-02 06:26:22,Mumbai,Chennai,112.7,OnTime
SH000045,ORD000051,BlueDart,2024-07-01 09:37:50,2024-07-02 01:50:56,Chennai,Ahmedabad,148.96,OnTime
SH000046,ORD000052,InHouse,2024-07-01 14:05:32,2024-07-01 21:28:58,Ahmedabad,Mumbai,62.01,OnTime
SH000047,ORD000054,InHouse,2024-07-01 07:47:18,2024-07-02 01:35:21,Mumbai,Hyderabad,61.34,OnTime
SH000048,ORD000055,InHouse,2024-07-01 08:04:55,2024-07-01 21:48:36,Kolkata,Mumbai,78.14,OnTime
SH000049,ORD000056,InHouse,2024-07-01 06:47:17,2024-07-03 23:14:37,Mumbai,Hyderabad,61.93,Late_1_2d
SH000050,ORD000057,Delhivery,2024-07-01 13:54:37,2024-07-02 12:25:44,Mumbai,Delhi,115.83,OnTime
SH000051,ORD000058,Delhivery,2024-07-01 13:57:20,2024-07-04 16:30:18,Chennai,Kolkata,76.75,Late_1_2d
SH000052,ORD000059,BlueDart,2024-07-01 13:24:26,2024-07-02 23:59:38,Hyderabad,Kochi,78.01,OnTime
SH000053,ORD000060,InHouse,2024-07-01 13:50:35,2024-07-02 03:36:48,Lucknow,Mumbai,56.41,OnTime
SH000054,ORD000061,InHouse,2024-07-01 07:35:19,2024-07-02 00:18:50,Hyderabad,Mumbai,78.41,OnTime
SH000055,ORD000062,InHouse,2024-07-01 07:37:20,2024-07-02 00:44:26,Delhi,Hyderabad,78.84,OnTime
SH000056,ORD000063,Ekart,2024-07-01 07:45:11,2024-07-02 13:05:56,Bangalore,Chandigarh,93.46,OnTime
SH000057,ORD000064,Ekart,2024-07-01 05:48:50,,Chennai,Kolkata,93.27,InTransit
SH000058,ORD000065,BlueDart,2024-07-01 14:42:36,2024-07-02 20:45:05,Chandigarh,Chandigarh,87.25,OnTime
SH000059,ORD000066,Delhivery,2024-07-01 10:05:44,2024-07-04 00:12:07,Delhi,Mumbai,62.07,Late_1_2d
SH000060,ORD000067,Delhivery,2024-07-01 15:13:25,2024-07-02 20:52:21,Mumbai,Pune,87.13,OnTime
SH000061,ORD000068,Ekart,2024-07-01 05:33:15,2024-07-01 21:27:11,Jaipur,Hyderabad,77.08,OnTime
SH000062,ORD000070,InHouse,2024-07-01 16:21:06,2024-07-02 13:07:41,Mumbai,Hyderabad,51.89,OnTime
SH000063,ORD000072,InHouse,2024-07-01 07:08:12,2024-07-02 03:22:10,Kolkata,Mumbai,50.66,OnTime
SH000064,ORD000073,Delhivery,2024-07-01 13:31:55,2024-07-02 14:44:23,Bangalore,Kolkata,113.58,OnTime
SH000065,ORD000074,Delhivery,2024-07-01 13:51:07,2024-07-03 08:13:16,Ahmedabad,Pune,66.16,Late_1_2d
SH000066,ORD000075,Delhivery,2024-07-01 16:16:25,2024-07-02 22:53:48,Chennai,Mumbai,134.89,OnTime
SH000067,ORD000076,Ekart,2024-07-01 12:57:43,2024-07-05 23:59:13,Delhi,Kolkata,125.62,Late_3_5d
SH000068,ORD000077,Delhivery,2024-07-01 08:39:23,2024-07-03 00:19:09,Delhi,Kolkata,80.07,Late_1_2d
SH000069,ORD000078,Delhivery,2024-07-01 06:06:39,2024-07-02 08:22:32,Mumbai,Mumbai,47.58,OnTime
SH000070,ORD000080,Delhivery,2024-07-01 11:21:37,2024-07-03 08:58:57,Jaipur,Mumbai,101.11,Late_1_2d
SH000071,ORD000081,Delhivery,2024-07-01 09:35:41,2024-07-04 03:56:42,Delhi,Jaipur,126.63,Late_1_2d
SH000072,ORD000082,Ekart,2024-07-01 14:00:27,2024-07-02 17:11:47,Bangalore,Ahmedabad,90.79,OnTime
SH000073,ORD000083,InHouse,2024-07-01 06:55:44,2024-07-02 03:05:08,Mumbai,Bangalore,82.7,OnTime
SH000074,ORD000084,Ekart,2024-07-01 12:43:28,2024-07-02 03:56:24,Kochi,Ahmedabad,75.3,OnTime
SH000075,ORD000085,Delhivery,2024-07-01 08:22:33,2024-07-01 20:40:16,Ahmedabad,Kolkata,116.22,OnTime
SH000076,ORD000086,Delhivery,2024-07-01 11:42:05,2024-07-04 14:17:33,Mumbai,Lucknow,97.52,Late_1_2d
SH000077,ORD000087,Ekart,2024-07-01 09:31:09,2024-07-02 06:23:03,Delhi,Chennai,105.77,OnTime
SH000078,ORD000088,Delhivery,2024-07-01 14:32:12,2024-07-02 21:16:17,Lucknow,Mumbai,134.71,OnTime
SH000079,ORD000089,Ekart,2024-07-01 07:38:32,2024-07-01 22:40:18,Delhi,Jaipur,110.85,OnTime
SH000080,ORD000090,Delhivery,2024-07-01 13:37:56,2024-07-02 20:44:58,Lucknow,Pune,56.37,OnTime
SH000081,ORD000091,InHouse,2024-07-01 07:07:17,2024-07-02 09:15:59,Kolkata,Bangalore,65.67,OnTime
SH000082,ORD000092,InHouse,2024-07-01 11:44:10,2024-07-03 04:23:01,Pune,Delhi,62.37,OnTime
SH000083,ORD000093,Delhivery,2024-07-01 14:32:46,2024-07-02 19:42:21,Lucknow,Mumbai,78.69,OnTime
SH000084,ORD000094,Delhivery,2024-07-01 08:07:05,2024-07-02 05:53:56,Mumbai,Delhi,101.3,OnTime
SH000085,ORD000095,InHouse,2024-07-01 13:36:48,2024-07-02 11:02:18,Bangalore,Delhi,67.71,OnTime
SH000086,ORD000098,Ekart,2024-07-01 10:29:46,2024-07-02 17:43:56,Jaipur,Hyderabad,127.62,OnTime
SH000087,ORD000099,BlueDart,2024-07-01 12:45:14,2024-07-02 06:46:11,Chandigarh,Ahmedabad,158.26,OnTime
SH000088,ORD000100,Ekart,2024-07-01 15:02:40,2024-07-03 01:44:03,Kochi,Hyderabad,126.83,Late_1_2d
SH000089,ORD000102,Delhivery,2024-07-01 09:01:17,,Mumbai,Ahmedabad,116.39,InTransit
SH000090,ORD000103,Delhivery,2024-07-01 08:19:07,2024-07-06 05:45:14,Chennai,Jaipur,87.81,Late_3_5d
SH000091,ORD000104,InHouse,2024-07-01 12:51:10,2024-07-03 07:06:36,Hyderabad,Delhi,61.5,Late_1_2d
SH000092,ORD000105,BlueDart,2024-07-01 05:43:21,2024-07-02 05:21:00,Kochi,Hyderabad,112.9,OnTime
SH000093,ORD000106,Ekart,2024-07-01 06:03:51,2024-07-02 10:39:53,Hyderabad,Delhi,72.26,OnTime
SH000094,ORD000107,Ekart,2024-07-01 08:42:07,,Chennai,Chandigarh,99.22,InTransit
SH000095,ORD000108,Ekart,2024-07-01 12:07:59,2024-07-04 05:50:06,Pune,Bangalore,99.71,Late_1_2d
SH000096,ORD000110,InHouse,2024-07-01 12:12:49,2024-07-02 06:58:12,Pune,Delhi,60.71,OnTime
SH000097,ORD000111,Delhivery,2024-07-01 06:44:24,2024-07-03 17:26:40,Hyderabad,Pune,80.44,Late_1_2d
SH000098,ORD000112,BlueDart,2024-07-01 07:55:55,2024-07-02 02:05:32,Kochi,Kochi,74.64,OnTime
SH000099,ORD000113,BlueDart,2024-07-01 11:35:08,2024-07-02 16:53:40,Bangalore,Delhi,125.38,OnTime
SH000100,ORD000114,BlueDart,2024-07-01 06:23:44,2024-07-03 07:42:55,Delhi,Hyderabad,137.23,Late_1_2d
SH000101,ORD000116,Delhivery,2024-07-01 07:42:43,2024-07-04 03:44:38,Kochi,Ahmedabad,86.66,Late_1_2d
SH000102,ORD000117,Ekart,2024-07-01 11:02:00,2024-07-04 07:33:17,Kolkata,Delhi,98.86,Late_1_2d
SH000103,ORD000118,Ekart,2024-07-01 09:04:40,2024-07-01 23:03:40,Chennai,Ahmedabad,116.96,OnTime
SH000104,ORD000119,Delhivery,2024-07-01 12:59:08,2024-07-03 22:06:31,Hyderabad,Delhi,64.19,Late_1_2d
SH000105,ORD000120,Delhivery,2024-07-01 10:50:17,2024-07-02 01:26:13,Bangalore,Mumbai,97.77,OnTime
SH000106,ORD000121,Delhivery,2024-07-01 14:13:21,2024-07-02 14:26:29,Hyderabad,Kolkata,109.37,OnTime
SH000107,ORD000122,Delhivery,2024-07-01 14:26:28,2024-07-02 21:22:40,Chennai,Kolkata,84.27,OnTime
SH000108,ORD000123,Delhivery,2024-07-01 08:41:16,2024-07-02 15:59:06,Bangalore,Kolkata,107.93,OnTime
SH000109,ORD000124,BlueDart,2024-07-01 05:51:21,2024-07-03 05:31:45,Pune,Bangalore,104.18,OnTime
SH000110,ORD000125,InHouse,2024-07-01 07:16:46,2024-07-01 17:17:36,Pune,Delhi,72.74,OnTime
SH000111,ORD000126,BlueDart,2024-07-01 11:00:56,2024-07-03 03:41:17,Mumbai,Bangalore,99.12,Late_1_2d
SH000112,ORD000127,InHouse,2024-07-01 05:30:14,2024-07-01 18:04:25,Hyderabad,Mumbai,60.03,OnTime
SH000113,ORD000129,Delhivery,2024-07-01 14:02:47,2024-07-03 02:45:05,Jaipur,Delhi,76.3,Late_1_2d
SH000114,ORD000130,Delhivery,2024-07-01 11:44:28,2024-07-02 12:59:25,Ahmedabad,Chennai,74.1,OnTime
SH000115,ORD000131,Ekart,2024-07-01 05:29:20,2024-07-01 21:56:09,Ahmedabad,Hyderabad,86.02,OnTime
SH000116,ORD000132,Delhivery,2024-07-01 13:32:38,2024-07-02 20:07:02,Bangalore,Hyderabad,126.9,OnTime
SH000117,ORD000133,Delhivery,2024-07-01 10:57:25,2024-07-02 16:02:02,Mumbai,Pune,91.38,OnTime
SH000118,ORD000134,Delhivery,2024-07-01 09:09:34,2024-07-03 11:00:18,Delhi,Pune,77.34,OnTime
SH000119,ORD000136,InHouse,2024-07-01 12:21:46,2024-07-01 19:50:50,Kolkata,Mumbai,71.98,OnTime
SH000120,ORD000137,InHouse,2024-07-01 12:14:56,2024-07-01 19:30:10,Bangalore,Mumbai,67.48,OnTime
SH000121,ORD000138,Ekart,2024-07-01 16:45:19,2024-07-02 15:51:42,Pune,Chandigarh,108.16,OnTime
SH000122,ORD000139,BlueDart,2024-07-01 13:47:45,2024-07-04 01:05:28,Chennai,Bangalore,143.56,Late_1_2d
SH000123,ORD000140,Delhivery,2024-07-01 09:16:59,,Delhi,Mumbai,123.96,InTransit
SH000124,ORD000143,Ekart,2024-07-01 10:19:44,2024-07-05 02:29:58,Lucknow,Kolkata,114.61,Late_3_5d
SH000125,ORD000144,Ekart,2024-07-01 09:57:42,2024-07-06 13:45:52,Chennai,Kolkata,51.84,Late_1_2d
SH000126,ORD000145,InHouse,2024-07-01 06:36:58,2024-07-01 16:07:59,Kolkata,Delhi,55.41,OnTime
SH000127,ORD000146,Delhivery,2024-07-01 14:41:34,2024-07-03 08:58:15,Mumbai,Chennai,95.77,Late_1_2d
SH000128,ORD000148,BlueDart,2024-07-01 09:25:31,,Pune,Pune,69.66,InTransit
SH000129,ORD000149,Ekart,2024-07-01 11:34:24,2024-07-02 20:44:53,Jaipur,Chennai,72.06,OnTime
SH000130,ORD000150,Delhivery,2024-07-01 07:26:16,2024-07-01 19:57:33,Mumbai,Bangalore,94.71,OnTime
SH000131,ORD000151,Ekart,2024-07-01 10:44:45,2024-07-01 23:26:30,Mumbai,Chennai,98.19,OnTime
SH000132,ORD000152,Delhivery,2024-07-01 05:07:34,2024-07-02 01:06:29,Kochi,Ahmedabad,86.7,OnTime
SH000133,ORD000153,InHouse,2024-07-01 15:20:56,2024-07-02 11:36:34,Mumbai,Bangalore,92.5,OnTime
SH000134,ORD000155,Delhivery,2024-07-01 04:48:15,2024-07-02 02:39:00,Kolkata,Pune,78.9,OnTime
SH000135,ORD000156,Ekart,2024-07-01 13:22:50,2024-07-04 04:18:54,Bangalore,Chennai,105.81,Late_1_2d
SH000136,ORD000157,Delhivery,2024-07-01 07:59:41,2024-07-05 12:38:20,Delhi,Jaipur,94.65,Late_1_2d
SH000137,ORD000158,InHouse,2024-07-01 10:05:57,2024-07-02 02:14:35,Pune,Mumbai,85.62,OnTime
SH000138,ORD000159,BlueDart,2024-07-01 06:32:39,2024-07-01 21:03:35,Chennai,Bangalore,157.33,OnTime
SH000139,ORD000160,Ekart,2024-07-01 10:27:23,2024-07-02 04:07:40,Pune,Ahmedabad,112.66,OnTime
SH000140,ORD000161,BlueDart,2024-07-01 12:55:54,2024-07-02 20:54:08,Chennai,Mumbai,129.86,OnTime
SH000141,ORD000162,Delhivery,2024-07-01 14:35:21,2024-07-03 22:24:54,Mumbai,Kolkata,105.25,Late_1_2d
SH000142,ORD000163,Delhivery,2024-07-01 15:39:14,2024-07-03 02:25:31,Hyderabad,Ahmedabad,85.74,Late_1_2d
SH000143,ORD000165,BlueDart,2024-07-02 06:47:16,2024-07-03 01:12:10,Chandigarh,Hyderabad,134.36,OnTime
SH000144,ORD000166,InHouse,2024-07-02 06:21:56,2024-07-02 17:52:53,Bangalore,Delhi,44.95,OnTime
SH000145,ORD000167,Ekart,2024-07-02 12:02:05,2024-07-03 14:17:10,Hyderabad,Delhi,128.2,OnTime
SH000146,ORD000168,Delhivery,2024-07-02 07:23:26,2024-07-03 15:08:15,Kolkata,Pune,102.59,OnTime
SH000147,ORD000169,InHouse,2024-07-02 14:25:08,2024-07-03 21:07:41,Mumbai,Delhi,67.53,OnTime
SH000148,ORD000170,InHouse,2024-07-02 10:01:52,2024-07-03 15:25:43,Chennai,Mumbai,61.14,OnTime
SH000149,ORD000171,Delhivery,2024-07-02 14:50:13,2024-07-03 11:43:51,Mumbai,Pune,99.2,OnTime
SH000150,ORD000173,Delhivery,2024-07-02 12:34:26,2024-07-04 05:33:56,Chennai,Delhi,116.74,Late_1_2d
SH000151,ORD000174,Delhivery,2024-07-02 15:56:08,2024-07-04 10:57:07,Hyderabad,Mumbai,97.32,OnTime
SH000152,ORD000175,Delhivery,2024-07-02 10:14:13,2024-07-03 04:49:06,Mumbai,Mumbai,69.15,OnTime
SH000153,ORD000176,BlueDart,2024-07-02 14:02:30,2024-07-03 16:28:06,Mumbai,Hyderabad,132.29,OnTime
SH000154,ORD000177,InHouse,2024-07-02 14:33:10,2024-07-03 02:26:28,Chennai,Bangalore,75.36,OnTime
SH000155,ORD000178,Delhivery,2024-07-02 16:21:58,2024-07-07 01:57:44,Bangalore,Jaipur,104.71,Late_3_5d
SH000156,ORD000179,BlueDart,2024-07-02 04:52:25,2024-07-03 16:26:30,Pune,Mumbai,120.03,OnTime
SH000157,ORD000180,BlueDart,2024-07-02 13:30:06,2024-07-05 05:33:03,Delhi,Mumbai,126.86,Late_1_2d
SH000158,ORD000181,BlueDart,2024-07-02 14:30:35,2024-07-04 12:00:24,Pune,Ahmedabad,95.03,OnTime
SH000159,ORD000182,Delhivery,2024-07-02 13:49:08,2024-07-03 23:59:42,Lucknow,Kolkata,93.22,OnTime
SH000160,ORD000183,BlueDart,2024-07-02 09:45:35,2024-07-05 05:10:45,Mumbai,Delhi,85.27,OnTime
SH000161,ORD000184,Ekart,2024-07-02 10:16:52,2024-07-06 05:01:00,Chandigarh,Kolkata,82.78,Late_3_5d
SH000162,ORD000185,InHouse,2024-07-02 14:22:14,,Mumbai,Mumbai,42.89,InTransit
SH000163,ORD000186,Delhivery,2024-07-02 10:22:02,2024-07-03 13:08:06,Hyderabad,Kolkata,100.52,OnTime
SH000164,ORD000187,Delhivery,2024-07-02 10:10:22,2024-07-07 02:45:10,Jaipur,Lucknow,94.51,Late_3_5d
SH000165,ORD000188,BlueDart,2024-07-02 14:21:39,2024-07-03 10:48:28,Delhi,Mumbai,144.39,OnTime
SH000166,ORD000189,BlueDart,2024-07-02 14:31:37,,Pune,Mumbai,104.2,InTransit
SH000167,ORD000190,BlueDart,2024-07-02 11:54:36,2024-07-04 00:37:07,Hyderabad,Ahmedabad,114.71,OnTime
SH000168,ORD000191,Delhivery,2024-07-02 15:17:05,2024-07-03 05:45:54,Delhi,Delhi,77.56,OnTime
SH000169,ORD000192,Ekart,2024-07-02 06:02:32,2024-07-06 23:04:01,Chennai,Kolkata,79.03,Late_3_5d
SH000170,ORD000193,InHouse,2024-07-02 14:15:38,2024-07-04 09:53:35,Mumbai,Hyderabad,80.69,Late_1_2d
SH000171,ORD000194,Ekart,2024-07-02 09:54:00,2024-07-06 19:14:21,Delhi,Kolkata,120.69,Late_1_2d
SH000172,ORD000196,Delhivery,2024-07-02 10:25:36,2024-07-03 00:42:02,Lucknow,Bangalore,110.49,OnTime
SH000173,ORD000197,Ekart,2024-07-02 04:56:21,2024-07-03 12:26:36,Lucknow,Mumbai,99.14,OnTime
SH000174,ORD000198,BlueDart,2024-07-02 07:07:12,2024-07-03 18:39:12,Delhi,Hyderabad,75.36,OnTime
SH000175,ORD000199,Delhivery,2024-07-02 09:48:45,2024-07-04 00:31:57,Ahmedabad,Mumbai,101.53,Late_1_2d
SH000176,ORD000200,InHouse,2024-07-02 14:48:27,2024-07-04 09:40:54,Mumbai,Delhi,52.8,Late_1_2d
SH000177,ORD000201,Ekart,2024-07-02 10:18:51,2024-07-04 15:27:57,Hyderabad,Delhi,78.75,Late_1_2d
SH000178,ORD000202,Delhivery,2024-07-02 13:26:39,2024-07-03 20:34:30,Mumbai,Pune,111.57,OnTime
SH000179,ORD000203,Delhivery,2024-07-02 10:31:34,2024-07-03 00:10:18,Mumbai,Mumbai,69.7,OnTime
SH000180,ORD000204,BlueDart,2024-07-02 05:33:52,2024-07-02 19:10:38,Mumbai,Chennai,99.56,OnTime
SH000181,ORD000205,Delhivery,2024-07-02 14:48:43,2024-07-04 10:43:12,Delhi,Kolkata,79.06,OnTime
SH000182,ORD000206,BlueDart,2024-07-02 10:22:32,2024-07-04 01:18:58,Delhi,Chandigarh,141.44,Late_1_2d
SH000183,ORD000207,Delhivery,2024-07-02 05:21:14,,Kochi,Delhi,116.28,InTransit
SH000184,ORD000208,Ekart,2024-07-02 09:44:23,2024-07-03 14:17:46,Mumbai,Delhi,61.54,OnTime
SH000185,ORD000209,InHouse,2024-07-02 08:51:10,2024-07-03 13:46:14,Hyderabad,Delhi,69.76,OnTime
SH000186,ORD000210,Delhivery,2024-07-02 05:21:28,,Kolkata,Mumbai,83.08,InTransit
SH000187,ORD000211,Ekart,2024-07-02 07:54:39,2024-07-02 20:39:04,Bangalore,Pune,83.54,OnTime
SH000188,ORD000212,InHouse,2024-07-02 14:25:34,,Bangalore,Bangalore,32.29,InTransit
SH000189,ORD000213,InHouse,2024-07-02 06:01:49,2024-07-02 16:06:10,Mumbai,Mumbai,22.81,OnTime
SH000190,ORD000214,BlueDart,2024-07-02 07:03:08,2024-07-03 13:44:16,Chennai,Hyderabad,144.51,OnTime
SH000191,ORD000215,Delhivery,2024-07-02 12:29:59,2024-07-05 02:07:34,Bangalore,Hyderabad,82.67,Late_1_2d
SH000192,ORD000216,Delhivery,2024-07-02 15:09:40,2024-07-07 05:39:52,Delhi,Lucknow,118.18,Late_3_5d
SH000193,ORD000217,Ekart,2024-07-02 15:00:06,2024-07-03 08:49:21,Mumbai,Delhi,117.85,OnTime
SH000194,ORD000218,InHouse,2024-07-02 16:24:34,2024-07-03 12:51:31,Mumbai,Bangalore,84.01,OnTime
SH000195,ORD000219,BlueDart,2024-07-02 10:43:07,2024-07-03 02:48:10,Mumbai,Pune,94.23,OnTime
SH000196,ORD000221,BlueDart,2024-07-02 06:07:27,2024-07-03 05:01:19,Mumbai,Chennai,87.64,OnTime
SH000197,ORD000222,Delhivery,2024-07-02 08:20:59,,Chennai,Hyderabad,102.81,InTransit
SH000198,ORD000223,Delhivery,2024-07-02 15:13:30,2024-07-03 15:00:33,Kochi,Delhi,85.27,OnTime
SH000199,ORD000224,BlueDart,2024-07-02 14:32:23,2024-07-03 15:49:04,Bangalore,Chennai,131.73,OnTime
SH000200,ORD000225,InHouse,2024-07-02 08:23:15,2024-07-03 05:30:20,Pune,Mumbai,46.97,OnTime
SH000201,ORD000226,Delhivery,2024-07-02 14:34:23,2024-07-04 03:27:32,Mumbai,Mumbai,76.01,Late_1_2d
SH000202,ORD000227,Delhivery,2024-07-02 08:53:41,2024-07-03 13:57:38,Bangalore,Hyderabad,97.78,OnTime
SH000203,ORD000228,Ekart,2024-07-02 12:56:05,2024-07-04 00:29:02,Hyderabad,Pune,88.27,OnTime
SH000204,ORD000229,Delhivery,2024-07-02 14:03:53,2024-07-04 12:02:25,Bangalore,Mumbai,94.04,Late_1_2d
SH000205,ORD000230,Ekart,2024-07-02 04:54:18,2024-07-04 02:44:46,Chennai,Delhi,106.92,Late_1_2d
SH000206,ORD000231,Ekart,2024-07-02 06:11:17,2024-07-03 13:49:41,Pune,Chennai,69.6,OnTime
SH000207,ORD000232,Ekart,2024-07-02 16:29:22,2024-07-03 10:11:04,Delhi,Ahmedabad,99.66,OnTime
SH000208,ORD000233,Delhivery,2024-07-02 16:33:04,2024-07-04 15:02:31,Mumbai,Ahmedabad,106.58,Late_1_2d
SH000209,ORD000234,Delhivery,2024-07-02 13:16:04,2024-07-04 07:54:01,Delhi,Mumbai,82.78,OnTime
SH000210,ORD000235,Ekart,2024-07-02 11:34:39,2024-07-04 09:15:08,Lucknow,Kochi,95.16,OnTime
SH000211,ORD000236,Ekart,2024-07-02 07:56:05,2024-07-03 05:51:57,Kochi,Mumbai,101.16,OnTime
SH000212,ORD000237,InHouse,2024-07-02 15:32:42,2024-07-03 06:52:29,Hyderabad,Delhi,63.83,OnTime
SH000213,ORD000238,Ekart,2024-07-02 10:21:22,2024-07-03 02:42:10,Jaipur,Lucknow,108.64,OnTime
SH000214,ORD000239,Ekart,2024-07-02 05:06:25,2024-07-02 22:19:08,Delhi,Chennai,74.22,OnTime
SH000215,ORD000240,Ekart,2024-07-02 10:20:14,2024-07-04 14:52:47,Kolkata,Pune,83.75,OnTime
SH000216,ORD000241,InHouse,2024-07-02 08:13:17,2024-07-03 03:18:19,Mumbai,Mumbai,27.74,OnTime
SH000217,ORD000242,Delhivery,2024-07-02 13:31:35,,Ahmedabad,Pune,115.16,InTransit
SH000218,ORD000243,BlueDart,2024-07-02 10:46:50,2024-07-04 01:11:31,Bangalore,Pune,113.89,Late_1_2d
SH000219,ORD000244,Delhivery,2024-07-02 09:15:52,2024-07-03 10:52:57,Pune,Chennai,78.22,OnTime
SH000220,ORD000246,Delhivery,2024-07-02 06:12:19,2024-07-05 06:24:20,Delhi,Jaipur,85.78,OnTime
