order_item_id,order_id,product_id,seller_id,quantity,unit_price,discount_pct,platform_fee_pct
OI0000039,ORD000024,P00353,S0309,2,1492.0,0.0,0.17
OI0000040,ORD000025,P02688,S0080,3,8636.0,0.0,0.14
OI0000041,ORD000026,P01559,S0100,1,2176.0,0.22,0.15
OI0000042,ORD000026,P01938,S0234,1,78048.0,0.0,0.06
OI0000043,ORD000027,P02834,S0060,1,3611.0,0.0,0.15
OI0000044,ORD000028,P02683,S0392,1,3287.0,0.19,0.14
OI0000045,ORD000028,P02740,S0398,1,7882.0,0.0,0.16
OI0000046,ORD000029,P02523,S0064,1,37133.0,0.0,0.06
OI0000047,ORD000029,P02756,S0271,1,3967.0,0.0,0.16
OI0000048,ORD000030,P01218,S0196,1,4973.0,0.19,0.16
OI0000049,ORD000031,P02194,S0314,1,4604.0,0.2,0.16
OI0000050,ORD000031,P00993,S0295,1,3449.0,0.0,0.12
OI0000051,ORD000031,P02930,S0316,3,2553.0,0.0,0.14
OI0000052,ORD000031,P00502,S0393,2,767.0,0.0,0.14
OI0000053,ORD000032,P02720,S0085,1,3846.0,0.0,0.17
OI0000054,ORD000032,P00130,S0307,1,930.0,0.19,0.15
OI0000055,ORD000033,P01738,S0019,1,7870.0,0.0,0.14
OI0000056,ORD000033,P01668,S0168,1,61711.0,0.0,0.06
OI0000057,ORD000033,P01139,S0327,3,16009.0,0.0,0.13
OI0000058,ORD000034,P01041,S0278,1,2099.0,0.09,0.11
OI0000059,ORD000034,P02897,S0095,1,921.0,0.06,0.15
OI0000060,ORD000034,P02414,S0354,2,48505.0,0.07,0.09
OI0000061,ORD000035,P02803,S0279,1,1507.0,0.0,0.12
OI0000062,ORD000036,P02723,S0072,1,52430.0,0.0,0.07
OI0000063,ORD000037,P02007,S0097,1,299.0,0.12,0.09
OI0000064,ORD000038,P00360,S0107,1,12603.0,0.17,0.15
OI0000065,ORD000038,P00550,S0358,1,540.0,0.0,0.11
OI0000066,ORD000038,P02894,S0264,2,1151.0,0.22,0.17
OI0000067,ORD000039,P00634,S0333,1,8727.0,0.1,0.13
OI0000068,ORD000040,P02332,S0157,1,1810.0,0.0,0.13
OI0000069,ORD000041,P02054,S0362,1,6118.0,0.0,0.15
OI0000070,ORD000042,P00307,S0108,1,2059.0,0.13,0.17
OI0000071,ORD000043,P02155,S0057,1,7551.0,0.0,0.15
OI0000072,ORD000044,P02517,S0077,3,6196.0,0.23,0.13
OI0000073,ORD000045,P01098,S0156,1,42991.0,0.0,0.08
OI0000074,ORD000045,P02645,S0269,1,3439.0,0.0,0.16
OI0000075,ORD000045,P02334,S0392,2,18281.0,0.0,0.13
OI0000076,ORD000046,P01278,S0383,1,2731.0,0.0,0.17
OI0000077,ORD000047,P01001,S0380,3,2546.0,0.0,0.16
OI0000078,ORD000048,P02233,S0097,1,24302.0,0.0,0.08
OI0000079,ORD000049,P02118,S0081,2,59372.0,0.0,0.08
OI0000080,ORD000050,P00686,S0179,1,1615.0,0.0,0.14
OI0000081,ORD000051,P00535,S0158,2,6068.0,0.0,0.13
OI0000082,ORD000051,P00186,S0296,1,315.0,0.0,0.11
OI0000083,ORD000052,P01340,S0150,1,20075.0,0.0,0.13
OI0000084,ORD000053,P00735,S0313,1,1702.0,0.09,0.1
OI0000085,ORD000053,P01374,S0303,1,23658.0,0.15,0.07
OI0000086,ORD000053,P00393,S0127,1,16574.0,0.05,0.15
OI0000087,ORD000054,P02787,S0190,1,41.0,0.0,0.11
OI0000088,ORD000054,P01047,S0349,2,11135.0,0.0,0.12
OI0000089,ORD000055,P00594,S0246,2,5877.0,0.0,0.16
OI0000090,ORD000056,P02409,S0003,1,7490.0,0.0,0.16
OI0000091,ORD000057,P01661,S0296,1,5401.0,0.0,0.14
OI0000092,ORD000058,P00484,S0017,1,42676.0,0.17,0.06
OI0000093,ORD000058,P00887,S0360,1,1194.0,0.0,0.14
OI0000094,ORD000059,P00589,S0201,1,27144.0,0.01,0.08
OI0000095,ORD000059,P00530,S0389,1,2000.0,0.01,0.15
OI0000096,ORD000060,P02059,S0109,2,4952.0,0.0,0.15
OI0000097,ORD000060,P01216,S0164,1,26957.0,0.21,0.09
OI0000098,ORD000060,P01161,S0125,1,5439.0,0.17,0.17
OI0000099,ORD000061,P00204,S0182,1,14523.0,0.23,0.15
OI0000100,ORD000062,P00755,S0175,1,763.0,0.23,0.1
OI0000101,ORD000062,P01953,S0311,1,619.0,0.0,0.1
OI0000102,ORD000063,P01154,S0177,2,1657.0,0.0,0.08
OI0000103,ORD000063,P01262,S0303,1,485.0,0.0,0.17
OI0000104,ORD000064,P02768,S0345,1,5816.0,0.03,0.15
OI0000105,ORD000064,P00306,S0355,2,7586.0,0.0,0.13
OI0000106,ORD000064,P00508,S0299,1,64929.0,0.2,0.08
OI0000107,ORD000064,P00738,S0121,1,15175.0,0.0,0.1
OI0000108,ORD000065,P02540,S0061,2,5715.0,0.11,0.13
OI0000109,ORD000065,P02833,S0390,2,1777.0,0.0,0.15
OI0000110,ORD000066,P02118,S0010,1,59408.0,0.0,0.09
OI0000111,ORD000066,P02803,S0051,1,1576.0,0.0,0.12
OI0000112,ORD000067,P02387,S0244,1,7324.0,0.18,0.16
OI0000113,ORD000067,P02475,S0101,1,19438.0,0.0,0.16
OI0000114,ORD000068,P02527,S0173,3,12525.0,0.0,0.14
OI0000115,ORD000068,P00085,S0245,1,2062.0,0.0,0.16
OI0000116,ORD000069,P01038,S0382,2,46012.0,0.08,0.09
OI0000117,ORD000069,P01150,S0207,3,737.0,0.07,0.12
OI0000118,ORD000070,P01436,S0094,1,1864.0,0.0,0.12
OI0000119,ORD000070,P01847,S0212,2,3081.0,0.07,0.15
OI0000120,ORD000071,P01221,S0128,1,5253.0,0.0,0.14
OI0000121,ORD000072,P01180,S0187,1,6237.0,0.23,0.16
OI0000122,ORD000073,P00220,S0352,1,818.0,0.1,0.11
OI0000123,ORD000073,P01850,S0174,2,341.0,0.06,0.15
OI0000124,ORD000073,P02889,S0211,2,2039.0,0.12,0.16
OI0000125,ORD000074,P01242,S0251,1,3055.0,0.0,0.08
OI0000126,ORD000075,P01738,S0261,1,8196.0,0.0,0.13
OI0000127,ORD000075,P02341,S0208,1,993.0,0.0,0.12
OI0000128,ORD000075,P00724,S0116,1,1019.0,0.1,0.11
OI0000129,ORD000076,P01364,S0054,1,1264.0,0.0,0.09
OI0000130,ORD000077,P00064,S0111,1,26875.0,0.0,0.09
OI0000131,ORD000078,P02997,S0044,1,632.0,0.06,0.1
OI0000132,ORD000079,P01353,S0394,2,12817.0,0.09,0.14
OI0000133,ORD000079,P01930,S0398,1,442.0,0.0,0.17
OI0000134,ORD000079,P01538,S0395,1,69569.0,0.04,0.09
OI0000135,ORD000080,P02041,S0342,1,75352.0,0.16,0.08
OI0000136,ORD000081,P01227,S0377,2,11350.0,0.0,0.13
OI0000137,ORD000081,P02716,S0114,1,67041.0,0.0,0.09
OI0000138,ORD000082,P02642,S0359,1,6499.0,0.0,0.07
OI0000139,ORD000083,P01561,S0379,2,2536.0,0.1,0.12
OI0000140,ORD000084,P00191,S0316,1,15870.0,0.09,0.12
OI0000141,ORD000085,P00335,S0123,2,6243.0,0.0,0.13
OI0000142,ORD000085,P00547,S0016,2,1325.0,0.09,0.11
OI0000143,ORD000086,P02395,S0136,1,1255.0,0.16,0.09
OI0000144,ORD000086,P00216,S0288,1,1211.0,0.0,0.11
OI0000145,ORD000087,P02834,S0338,1,4199.0,0.0,0.15
OI0000146,ORD000087,P00971,S0144,2,714.0,0.0,0.11
OI0000147,ORD000088,P00449,S0137,1,23534.0,0.0,0.07
OI0000148,ORD000089,P02907,S0282,1,3413.0,0.11,0.16
OI0000149,ORD000090,P01815,S0109,2,66059.0,0.0,0.07
OI0000150,ORD000091,P02545,S0043,1,58078.0,0.0,0.1
OI0000151,ORD000092,P02847,S0013,1,52531.0,0.15,0.08
OI0000152,ORD000092,P02385,S0005,2,55842.0,0.09,0.1
OI0000153,ORD000092,P01580,S0008,2,7167.0,0.0,0.17
OI0000154,ORD000093,P01928,S0289,1,7214.0,0.0,0.16
OI0000155,ORD000094,P02800,S0253,1,17474.0,0.03,0.14
OI0000156,ORD000095,P02678,S0369,1,11670.0,0.06,0.15
OI0000157,ORD000096,P01133,S0234,1,339.0,0.04,0.09
OI0000158,ORD000097,P02622,S0010,1,5906.0,0.0,0.06
OI0000159,ORD000097,P02750,S0085,2,2589.0,0.0,0.16
OI0000160,ORD000097,P00975,S0241,1,11497.0,0.0,0.07
OI0000161,ORD000098,P00461,S0332,1,639.0,0.0,0.14
OI0000162,ORD000098,P02557,S0337,2,69756.0,0.0,0.07
OI0000163,ORD000099,P00189,S0356,1,4732.0,0.0,0.14
OI0000164,ORD000100,P00080,S0211,1,42901.0,0.17,0.09
OI0000165,ORD000101,P00468,S0113,1,3940.0,0.0,0.16
OI0000166,ORD000102,P02906,S0190,2,1780.0,0.21,0.11
OI0000167,ORD000102,P01664,S0260,3,2075.0,0.04,0.09
OI0000168,ORD000103,P01029,S0261,1,334.0,0.0,0.11
OI0000169,ORD000104,P00782,S0005,1,70729.0,0.0,0.07
OI0000170,ORD000105,P02771,S0092,1,67372.0,0.0,0.08
OI0000171,ORD000106,P01850,S0311,1,353.0,0.0,0.16
OI0000172,ORD000107,P01959,S0035,1,12912.0,0.0,0.08
OI0000173,ORD000108,P00928,S0396,3,1193.0,0.0,0.11
OI0000174,ORD000109,P01552,S0295,1,4854.0,0.0,0.13
OI0000175,ORD000110,P01985,S0200,1,6323.0,0.0,0.13
OI0000176,ORD000111,P00435,S0334,1,241.0,0.0,0.11
OI0000177,ORD000112,P00421,S0092,2,15504.0,0.23,0.13
OI0000178,ORD000112,P02016,S0315,1,110.0,0.0,0.13
OI0000179,ORD000113,P00605,S0065,2,83715.0,0.0,0.06
OI0000180,ORD000113,P01556,S0159,1,15094.0,0.13,0.15
OI0000181,ORD000114,P02807,S0129,1,54053.0,0.0,0.1
OI0000182,ORD000115,P00687,S0302,1,46173.0,0.0,0.09
OI0000183,ORD000115,P00876,S0163,1,60291.0,0.0,0.09
OI0000184,ORD000115,P01269,S0181,1,1318.0,0.0,0.1
OI0000185,ORD000116,P01486,S0349,2,17904.0,0.0,0.16
OI0000186,ORD000117,P01534,S0043,1,34944.0,0.0,0.08
OI0000187,ORD000118,P02997,S0290,1,630.0,0.0,0.11
OI0000188,ORD000118,P00829,S0350,2,1688.0,0.16,0.1
OI0000189,ORD000119,P00551,S0266,1,59694.0,0.0,0.07
OI0000190,ORD000119,P00536,S0204,3,174.0,0.0,0.1
OI0000191,ORD000120,P00456,S0049,1,1795.0,0.09,0.13
OI0000192,ORD000120,P02270,S0094,3,3766.0,0.01,0.16
OI0000193,ORD000120,P01086,S0037,1,2662.0,0.0,0.15
OI0000194,ORD000121,P01722,S0195,2,3992.0,0.0,0.14
OI0000195,ORD000122,P00593,S0023,1,231.0,0.0,0.09
OI0000196,ORD000123,P02098,S0262,1,68135.0,0.09,0.06
OI0000197,ORD000124,P01120,S0200,1,51222.0,0.19,0.09
OI0000198,ORD000125,P02155,S0381,1,8134.0,0.0,0.14
OI0000199,ORD000125,P00216,S0294,2,971.0,0.0,0.13
OI0000200,ORD000126,P00656,S0238,1,13506.0,0.0,0.08
OI0000201,ORD000127,P00762,S0155,1,2071.0,0.09,0.13
OI0000202,ORD000128,P01515,S0161,1,21627.0,0.15,0.14
OI0000203,ORD000128,P02008,S0388,1,2003.0,0.01,0.12
OI0000204,ORD000128,P02504,S0316,1,3934.0,0.0,0.14
OI0000205,ORD000129,P02892,S0310,1,54695.0,0.14,0.1
OI0000206,ORD000130,P02287,S0273,1,52795.0,0.0,0.09
OI0000207,ORD000131,P00195,S0218,1,5288.0,0.21,0.13
OI0000208,ORD000131,P01226,S0212,2,6069.0,0.0,0.12
OI0000209,ORD000132,P02936,S0004,1,165.0,0.18,0.14
OI0000210,ORD000133,P02150,S0097,1,1627.0,0.23,0.11
OI0000211,ORD000133,P01526,S0270,1,224.0,0.0,0.16
OI0000212,ORD000133,P02031,S0138,2,4809.0,0.0,0.14
OI0000213,ORD000134,P01938,S0028,1,81900.0,0.23,0.09
OI0000214,ORD000135,P01149,S0377,1,19361.0,0.0,0.08
OI0000215,ORD000136,P00165,S0230,1,1185.0,0.05,0.11
OI0000216,ORD000136,P02472,S0119,2,1519.0,0.0,0.12
OI0000217,ORD000137,P02270,S0148,1,3929.0,0.0,0.16
OI0000218,ORD000137,P02430,S0329,1,17417.0,0.0,0.09
OI0000219,ORD000137,P01893,S0179,2,279.0,0.0,0.14
OI0000220,ORD000138,P02781,S0396,1,367.0,0.19,0.12
OI0000221,ORD000139,P02813,S0023,1,3832.0,0.0,0.08
OI0000222,ORD000140,P02336,S0116,1,7214.0,0.0,0.15
OI0000223,ORD000141,P01157,S0173,1,2294.0,0.0,0.15
OI0000224,ORD000142,P01013,S0220,1,309.0,0.0,0.13
OI0000225,ORD000143,P00634,S0283,1,7519.0,0.0,0.12
OI0000226,ORD000144,P02677,S0023,3,177.0,0.0,0.13
OI0000227,ORD000144,P02688,S0078,2,7772.0,0.0,0.13
OI0000228,ORD000145,P00906,S0318,1,22708.0,0.0,0.13
OI0000229,ORD000146,P01470,S0380,2,5053.0,0.0,0.06
OI0000230,ORD000147,P01696,S0181,2,23868.0,0.17,0.15
OI0000231,ORD000148,P02242,S0396,2,368.0,0.0,0.1
OI0000232,ORD000149,P01382,S0117,1,44454.0,0.0,0.1
OI0000233,ORD000150,P01059,S0062,1,2469.0,0.2,0.12
OI0000234,ORD000150,P00887,S0170,1,1164.0,0.14,0.13
OI0000235,ORD000150,P00754,S0004,2,317.0,0.0,0.14
OI0000236,ORD000151,P00925,S0331,2,2170.0,0.0,0.14
OI0000237,ORD000151,P01221,S0084,2,5672.0,0.06,0.15
OI0000238,ORD000152,P00142,S0257,1,3011.0,0.11,0.09
OI0000239,ORD000152,P01316,S0183,3,6041.0,0.0,0.16
OI0000240,ORD000153,P02527,S0094,1,10765.0,0.23,0.15
OI0000241,ORD000153,P02710,S0188,1,51044.0,0.0,0.07
OI0000242,ORD000154,P01174,S0321,1,976.0,0.09,0.12
OI0000243,ORD000155,P01644,S0248,1,34264.0,0.0,0.09
OI0000244,ORD000156,P00832,S0037,2,2261.0,0.0,0.15
OI0000245,ORD000157,P02640,S0192,1,1504.0,0.0,0.11
OI0000246,ORD000158,P02996,S0157,1,1212.0,0.2,0.13
OI0000247,ORD000158,P02066,S0030,3,68538.0,0.17,0.1
OI0000248,ORD000159,P02605,S0235,3,17880.0,0.13,0.15
OI0000249,ORD000160,P00730,S0200,1,1000.0,0.23,0.1
OI0000250,ORD000161,P02435,S0158,1,7808.0,0.07,0.15
OI0000251,ORD000162,P02690,S0027,1,1229.0,0.0,0.11
OI0000252,ORD000162,P02099,S0322,1,41272.0,0.18,0.08
OI0000253,ORD000162,P00030,S0002,1,7135.0,0.15,0.15
OI0000254,ORD000162,P01772,S0174,1,548.0,0.14,0.15
OI0000255,ORD000163,P00658,S0206,1,22623.0,0.0,0.13
OI0000256,ORD000163,P00541,S0297,1,1094.0,0.07,0.11
OI0000257,ORD000163,P00452,S0104,1,77378.0,0.19,0.09
OI0000258,ORD000163,P02106,S0083,2,824.0,0.0,0.16
OI0000259,ORD000164,P01911,S0044,3,13155.0,0.14,0.16
OI0000260,ORD000164,P01676,S0237,3,654.0,0.0,0.14
OI0000261,ORD000165,P00745,S0077,1,14280.0,0.0,0.12
OI0000262,ORD000166,P00416,S0138,1,2438.0,0.0,0.16
OI0000263,ORD000167,P01586,S0321,1,30440.0,0.0,0.09
OI0000264,ORD000168,P02932,S0197,1,4749.0,0.0,0.16
OI0000265,ORD000169,P00834,S0046,1,53160.0,0.0,0.07
OI0000266,ORD000170,P00071,S0158,1,79086.0,0.0,0.09
OI0000267,ORD000170,P01453,S0368,1,5672.0,0.0,0.15
OI0000268,ORD000170,P00052,S0327,1,8148.0,0.21,0.14
OI0000269,ORD000171,P01611,S0379,2,2295.0,0.0,0.17
OI0000270,ORD000171,P02941,S0213,2,2557.0,0.0,0.16
OI0000271,ORD000172,P00835,S0161,1,350.0,0.03,0.11
OI0000272,ORD000173,P02495,S0012,1,83121.0,0.2,0.1
OI0000273,ORD000173,P00829,S0053,2,1940.0,0.09,0.09
OI0000274,ORD000174,P01732,S0182,1,13303.0,0.0,0.08
OI0000275,ORD000175,P02297,S0395,3,13677.0,0.09,0.13
OI0000276,ORD000175,P01524,S0243,1,1015.0,0.17,0.1
OI0000277,ORD000176,P01405,S0204,1,4113.0,0.12,0.17
OI0000278,ORD000177,P00559,S0362,1,2091.0,0.23,0.14
OI0000279,ORD000177,P00169,S0358,1,25218.0,0.0,0.08
OI0000280,ORD000177,P01310,S0356,2,1475.0,0.0,0.11
OI0000281,ORD000177,P00981,S0097,1,66116.0,0.09,0.08
OI0000282,ORD000178,P01305,S0026,3,454.0,0.0,0.16
OI0000283,ORD000178,P01202,S0198,1,45566.0,0.01,0.1
OI0000284,ORD000179,P02033,S0397,1,57442.0,0.0,0.08
OI0000285,ORD000179,P02142,S0256,1,1226.0,0.0,0.16
OI0000286,ORD000180,P02828,S0010,2,753.0,0.07,0.11
OI0000287,ORD000181,P00981,S0149,2,68056.0,0.0,0.06
OI0000288,ORD000181,P01983,S0340,1,2418.0,0.0,0.17
OI0000289,ORD000182,P00138,S0103,1,6819.0,0.13,0.16
OI0000290,ORD000183,P02468,S0027,1,1236.0,0.09,0.13
OI0000291,ORD000184,P00570,S0170,1,54639.0,0.0,0.09
OI0000292,ORD000185,P02687,S0001,2,5432.0,0.0,0.15
OI0000293,ORD000186,P01528,S0176,2,10651.0,0.17,0.15
OI0000294,ORD000187,P02857,S0156,2,44933.0,0.0,0.09
OI0000295,ORD000188,P01630,S0058,1,1495.0,0.0,0.13
OI0000296,ORD000189,P01183,S0093,1,2709.0,0.13,0.13
OI0000297,ORD000189,P01283,S0386,1,21301.0,0.0,0.13
OI0000298,ORD000190,P00011,S0135,1,1625.0,0.0,0.11
OI0000299,ORD000191,P00835,S0347,2,453.0,0.21,0.11
OI0000300,ORD000192,P01625,S0023,2,7962.0,0.0,0.15
OI0000301,ORD000192,P02827,S0089,2,5508.0,0.09,0.16
OI0000302,ORD000193,P01149,S0305,1,17108.0,0.12,0.06
OI0000303,ORD000194,P01328,S0374,1,62797.0,0.0,0.07
OI0000304,ORD000195,P00277,S0195,1,31708.0,0.0,0.06
OI0000305,ORD000196,P02974,S0109,1,3193.0,0.0,0.15
OI0000306,ORD000196,P00204,S0317,1,16993.0,0.0,0.13
OI0000307,ORD000197,P02533,S0398,2,20153.0,0.01,0.15
OI0000308,ORD000198,P00788,S0348,2,355.0,0.23,0.12
OI0000309,ORD000198,P00856,S0176,1,21380.0,0.0,0.15
OI0000310,ORD000199,P01878,S0209,1,22070.0,0.0,0.06
OI0000311,ORD000200,P00453,S0040,1,49367.0,0.0,0.09
OI0000312,ORD000200,P02000,S0048,1,20490.0,0.0,0.14
OI0000313,ORD000200,P00572,S0374,1,71622.0,0.0,0.1
OI0000314,ORD000201,P01440,S0106,1,10500.0,0.0,0.06
OI0000315,ORD000201,P02077,S0154,1,691.0,0.0,0.13
OI0000316,ORD000202,P01164,S0191,3,35490.0,0.0,0.1
OI0000317,ORD000202,P00710,S0351,1,58897.0,0.0,0.1
OI0000318,ORD000203,P00440,S0136,1,2119.0,0.0,0.1
OI0000319,ORD000204,P01276,S0178,1,2239.0,0.0,0.1
OI0000320,ORD000205,P01721,S0192,1,51771.0,0.0,0.08
OI0000321,ORD000206,P01206,S0291,1,27315.0,0.0,0.09
OI0000322,ORD000206,P00557,S0293,1,1633.0,0.17,0.15
OI0000323,ORD000206,P01787,S0116,3,6094.0,0.08,0.14
OI0000324,ORD000206,P02865,S0243,2,8250.0,0.0,0.14
OI0000325,ORD000207,P00287,S0152,1,3147.0,0.15,0.16
OI0000326,ORD000208,P00049,S0366,3,2217.0,0.0,0.12
OI0000327,ORD000208,P02695,S0030,1,46172.0,0.09,0.1
OI0000328,ORD000209,P00607,S0364,1,33060.0,0.0,0.08
OI0000329,ORD000210,P02622,S0302,1,7103.0,0.07,0.08
OI0000330,ORD000210,P02076,S0029,2,1747.0,0.05,0.1
OI0000331,ORD000211,P00115,S0065,1,2238.0,0.14,0.09
OI0000332,ORD000211,P02486,S0055,1,7011.0,0.19,0.16
OI0000333,ORD000212,P02493,S0037,1,56013.0,0.0,0.08
OI0000334,ORD000212,P00239,S0322,2,3574.0,0.0,0.17
OI0000335,ORD000213,P01772,S0181,1,530.0,0.01,0.13
OI0000336,ORD000213,P00068,S0038,1,1710.0,0.0,0.1
OI0000337,ORD000214,P00080,S0362,1,39376.0,0.15,0.08
OI0000338,ORD000215,P01586,S0038,1,33425.0,0.23,0.07
OI0000339,ORD000215,P01479,S0096,3,1272.0,0.0,0.12
OI0000340,ORD000215,P01306,S0297,1,1058.0,0.0,0.14
OI0000341,ORD000216,P02134,S0066,1,7453.0,0.15,0.08
OI0000342,ORD000217,P01792,S0179,1,2310.0,0.04,0.08
OI0000343,ORD000217,P00777,S0174,1,41205.0,0.0,0.07
OI0000344,ORD000218,P01696,S0081,1,20515.0,0.13,0.13
OI0000345,ORD000219,P00486,S0204,1,706.0,0.0,0.11
OI0000346,ORD000219,P00658,S0315,2,19951.0,0.0,0.15
OI0000347,ORD000220,P01070,S0145,1,4635.0,0.0,0.13
OI0000348,ORD000221,P00025,S0194,1,1943.0,0.0,0.11
OI0000349,ORD000221,P02789,S0222,3,276.0,0.21,0.11
OI0000350,ORD000221,P00334,S0200,1,15568.0,0.05,0.08
OI0000351,ORD000222,P02345,S0022,2,42604.0,0.17,0.09
OI0000352,ORD000223,P01333,S0211,3,5960.0,0.09,0.16
OI0000353,ORD000224,P01099,S0301,2,449.0,0.16,0.08
OI0000354,ORD000225,P00339,S0186,1,6598.0,0.19,0.16
OI0000355,ORD000226,P00369,S0390,1,70257.0,0.0,0.1
OI0000356,ORD000226,P01635,S0224,1,1390.0,0.0,0.13
OI0000357,ORD000226,P01240,S0271,1,512.0,0.0,0.13
OI0000358,ORD000227,P02502,S0239,1,1639.0,0.0,0.09
OI0000359,ORD000227,P00195,S0053,1,5551.0,0.0,0.12
OI0000360,ORD000228,P02849,S0334,1,11888.0,0.0,0.08
OI0000361,ORD000229,P01296,S0247,1,50523.0,0.0,0.06
OI0000362,ORD000230,P00882,S0014,1,4797.0,0.0,0.15
OI0000363,ORD000230,P00454,S0013,2,1933.0,0.25,0.13
OI0000364,ORD000230,P02923,S0036,1,291.0,0.0,0.08
OI0000365,ORD000231,P01131,S0157,2,1421.0,0.0,0.11
OI0000366,ORD000231,P00432,S0085,1,6277.0,0.0,0.16
OI0000367,ORD000231,P01576,S0123,1,6616.0,0.09,0.1
OI0000368,ORD000232,P02273,S0168,1,14265.0,0.0,0.15
OI0000369,ORD000233,P01716,S0020,3,6354.0,0.0,0.14
OI0000370,ORD000233,P02809,S0311,1,1562.0,0.24,0.1
OI0000371,ORD000234,P02424,S0336,1,27844.0,0.0,0.09
OI0000372,ORD000235,P01257,S0016,1,528.0,0.0,0.13
OI0000373,ORD000236,P01460,S0281,1,3289.0,0.24,0.15
OI0000374,ORD000237,P02471,S0047,1,3479.0,0.0,0.12
OI0000375,ORD000238,P01724,S0342,2,3914.0,0.0,0.15
OI0000376,ORD000239,P00763,S0389,1,4394.0,0.0,0.14
OI0000377,ORD000240,P00939,S0187,3,9851.0,0.0,0.07
OI0000378,ORD000241,P02973,S0258,1,8608.0,0.0,0.14
OI0000379,ORD000242,P01399,S0199,1,295.0,0.03,0.12
OI0000380,ORD000243,P02467,S0101,1,54918.0,0.12,0.09
OI0000381,ORD000243,P01405,S0244,1,4023.0,0.0,0.13
OI0000382,ORD000243,P01692,S0334,2,590.0,0.01,0.12
OI0000383,ORD000244,P01813,S0200,1,2188.0,0.0,0.16
OI0000384,ORD000245,P00007,S0377,1,118.0,0.0,0.11
OI0000385,ORD000246,P00365,S0377,1,491.0,0.0,0.1
OI0000386,ORD000247,P02626,S0020,2,730.0,0.13,0.16
OI0000387,ORD000248,P00928,S0187,3,1219.0,0.0,0.09
OI0000388,ORD000249,P00822,S0116,1,6167.0,0.01,0.15
OI0000389,ORD000250,P02352,S0081,1,7087.0,0.0,0.15
OI0000390,ORD000251,P01378,S0154,1,6736.0,0.14,0.15
OI0000391,ORD000251,P02115,S0176,1,1219.0,0.0,0.12
OI0000392,ORD000251,P02528,S0357,1,1685.0,0.0,0.12
OI0000393,ORD000252,P02102,S0355,1,6805.0,0.0,0.13
OI0000394,ORD000252,P00886,S0138,1,30445.0,0.0,0.07
OI0000395,ORD000253,P00016,S0325,1,485.0,0.0,0.12
OI0000396,ORD000254,P02064,S0159,1,53676.0,0.01,0.06
OI0000397,ORD000254,P00310,S0124,1,916.0,0.0,0.15
OI0000398,ORD000254,P02731,S0019,1,4232.0,0.0,0.15
OI0000399,ORD000255,P02588,S0061,1,9280.0,0.0,0.09
