product_id,category,subcategory,base_price
P00186,Grocery,Snacks,339.0
P00187,Electronics,Smartphones,8550.0
P00188,Books,Fiction,696.0
P00189,Home & Kitchen,Appliances,4871.0
P00190,Fashion,Footwear,5638.0
P00191,Home & Kitchen,Appliances,18093.0
P00192,Grocery,Personal Care,1468.0
P00193,Grocery,Personal Care,553.0
P00194,Books,Fiction,916.0
P00195,Home & Kitchen,Cookware,6053.0
P00196,Electronics,Smartphones,4446.0
P00197,Electronics,Audio,45956.0
P00198,Electronics,Accessories,67268.0
P00199,Fashion,Men's Clothing,1398.0
P00200,Fashion,Women's Clothing,3014.0
P00201,Fashion,Women's Clothing,3535.0
P00202,Electronics,Laptops,23917.0
P00203,Electronics,Cameras,53131.0
P00204,Home & Kitchen,Appliances,15065.0
P00205,Home & Kitchen,Furniture,5112.0
P00206,Fashion,Watches,401.0
P00207,Fashion,Women's Clothing,1532.0
P00208,Home & Kitchen,Decor,7402.0
P00209,Electronics,Audio,7014.0
P00210,Fashion,Women's Clothing,6781.0
P00211,Home & Kitchen,Cookware,7813.0
P00212,Grocery,Personal Care,813.0
P00213,Electronics,Cameras,39383.0
P00214,Electronics,Smartphones,53053.0
P00215,Electronics,Smartphones,7745.0
P00216,Grocery,Staples,1102.0
P00217,Grocery,Staples,394.0
P00218,Electronics,Laptops,70897.0
P00219,Electronics,Laptops,29867.0
P00220,Grocery,Personal Care,908.0
P00221,Fashion,Watches,2254.0
P00222,Books,Children's,1449.0
P00223,Fashion,Women's Clothing,1965.0
P00224,Fashion,Watches,2295.0
P00225,Fashion,Men's Clothing,681.0
P00226,Home & Kitchen,Furniture,18843.0
P00227,Grocery,Personal Care,1345.0
P00228,Home & Kitchen,Cookware,2280.0
P00229,Fashion,Watches,2882.0
P00230,Grocery,Beverages,1097.0
P00231,Electronics,Audio,77671.0
P00232,Grocery,Beverages,1192.0
P00233,Electronics,Audio,44511.0
P00234,Electronics,Cameras,67343.0
P00235,Books,Children's,2473.0
P00236,Grocery,Snacks,855.0
P00237,Home & Kitchen,Furniture,13458.0
P00238,Electronics,Accessories,69418.0
P00239,Fashion,Women's Clothing,3904.0
P00240,Home & Kitchen,Cookware,22059.0
P00241,Fashion,Men's Clothing,3915.0
P00242,Electronics,Accessories,6777.0
P00243,Fashion,Men's Clothing,7242.0
P00244,Fashion,Men's Clothing,5772.0
P00245,Books,Children's,1556.0
P00246,Fashion,Women's Clothing,7224.0
P00247,Books,Fiction,2421.0
P00248,Books,Fiction,2065.0
P00249,Fashion,Women's Clothing,5038.0
P00250,Books,Fiction,449.0
P00251,Grocery,Staples,1522.0
P00252,Home & Kitchen,Furniture,4446.0
P00253,Home & Kitchen,Appliances,24612.0
P00254,Electronics,Smartphones,77787.0
P00255,Home & Kitchen,Furniture,20240.0
P00256,Fashion,Men's Clothing,1184.0
P00257,Grocery,Staples,864.0
P00258,Fashion,Watches,7909.0
P00259,Grocery,Beverages,888.0
P00260,Electronics,Accessories,79783.0
P00261,Fashion,Women's Clothing,5092.0
P00262,Grocery,Beverages,1673.0
P00263,Electronics,Laptops,21002.0
P00264,Grocery,Beverages,1824.0
P00265,Home & Kitchen,Appliances,22867.0
P00266,Electronics,Laptops,5827.0
P00267,Grocery,Beverages,795.0
P00268,Grocery,Personal Care,813.0
P00269,Home & Kitchen,Decor,8254.0
P00270,Grocery,Staples,574.0
P00271,Fashion,Men's Clothing,3774.0
P00272,Fashion,Watches,7013.0
P00273,Books,Fiction,2381.0
P00274,Fashion,Men's Clothing,5060.0
P00275,Fashion,Women's Clothing,4276.0
P00276,Books,Academic,1317.0
P00277,Electronics,Laptops,33448.0
P00278,Electronics,Accessories,12282.0
P00279,Books,Fiction,1805.0
P00280,Grocery,Snacks,1524.0
P00281,Fashion,Footwear,7529.0
P00282,Electronics,Accessories,74032.0
P00283,Fashion,Women's Clothing,4589.0
P00284,Fashion,Watches,988.0
P00285,Fashion,Footwear,2432.0
P00286,Fashion,Men's Clothing,4378.0
P00287,Fashion,Footwear,2882.0
P00288,Books,Fiction,1292.0
P00289,Books,Non-Fiction,1211.0
P00290,Electronics,Accessories,39104.0
P00291,Electronics,Smartphones,48912.0
P00292,Books,Fiction,209.0
P00293,Fashion,Women's Clothing,2348.0
P00294,Grocery,Beverages,313.0
P00295,Home & Kitchen,Decor,15275.0
P00296,Fashion,Women's Clothing,5611.0
P00297,Electronics,Accessories,3583.0
P00298,Home & Kitchen,Furniture,22256.0
P00299,Home & Kitchen,Decor,8388.0
P00300,Electronics,Cameras,19388.0
P00301,Home & Kitchen,Appliances,18682.0
P00302,Home & Kitchen,Decor,23033.0
P00303,Electronics,Smartphones,71814.0
P00304,Electronics,Smartphones,2109.0
P00305,Fashion,Watches,6576.0
P00306,Home & Kitchen,Decor,7681.0
P00307,Fashion,Men's Clothing,2387.0
P00308,Fashion,Men's Clothing,4035.0
P00309,Electronics,Accessories,55847.0
P00310,Fashion,Women's Clothing,966.0
P00311,Books,Academic,2620.0
P00312,Home & Kitchen,Furniture,3489.0
P00313,Grocery,Personal Care,1949.0
P00314,Home & Kitchen,Appliances,11161.0
P00315,Fashion,Men's Clothing,6641.0
P00316,Grocery,Staples,561.0
P00317,Home & Kitchen,Cookware,10507.0
P00318,Fashion,Women's Clothing,5235.0
P00319,Home & Kitchen,Cookware,4820.0
P00320,Grocery,Beverages,446.0
P00321,Grocery,Snacks,1653.0
P00322,Electronics,Audio,59405.0
P00323,Home & Kitchen,Furniture,19023.0
P00324,Home & Kitchen,Cookware,21700.0
P00325,Electronics,Accessories,65771.0
P00326,Grocery,Beverages,1045.0
P00327,Home & Kitchen,Cookware,4100.0
P00328,Home & Kitchen,Decor,7881.0
P00329,Electronics,Laptops,40790.0
P00330,Grocery,Snacks,297.0
P00331,Electronics,Smartphones,68178.0
P00332,Fashion,Footwear,7059.0
P00333,Fashion,Watches,426.0
P00334,Electronics,Cameras,15825.0
P00335,Fashion,Women's Clothing,6697.0
P00336,Home & Kitchen,Furniture,20949.0
P00337,Home & Kitchen,Furniture,6350.0
P00338,Fashion,Women's Clothing,3760.0
P00339,Fashion,Watches,7361.0
P00340,Home & Kitchen,Cookware,17660.0
P00341,Electronics,Laptops,22281.0
P00342,Home & Kitchen,Decor,20614.0
P00343,Fashion,Watches,4140.0
P00344,Books,Non-Fiction,1943.0
P00345,Grocery,Beverages,274.0
P00346,Electronics,Laptops,2930.0
P00347,Electronics,Smartphones,30111.0
P00348,Electronics,Audio,47726.0
P00349,Grocery,Staples,380.0
P00350,Fashion,Watches,6990.0
P00351,Electronics,Laptops,47157.0
P00352,Electronics,Laptops,28306.0
P00353,Fashion,Watches,1475.0
P00354,Fashion,Footwear,7177.0
P00355,Books,Academic,2272.0
P00356,Grocery,Snacks,1387.0
P00357,Home & Kitchen,Furniture,7234.0
P00358,Electronics,Smartphones,31232.0
P00359,Fashion,Women's Clothing,1471.0
P00360,Home & Kitchen,Appliances,14371.0
P00361,Fashion,Footwear,7726.0
P00362,Grocery,Beverages,1719.0
P00363,Grocery,Staples,1305.0
P00364,Grocery,Beverages,1365.0
P00365,Grocery,Beverages,560.0
P00366,Grocery,Personal Care,837.0
P00367,Electronics,Cameras,2094.0
P00368,Grocery,Beverages,1567.0
P00369,Electronics,Smartphones,61522.0
P00370,Fashion,Men's Clothing,269.0
P00371,Home & Kitchen,Decor,22801.0
P00372,Grocery,Snacks,1305.0
P00373,Books,Academic,1843.0
P00374,Electronics,Smartphones,1173.0
P00375,Books,Fiction,832.0
P00376,Grocery,Personal Care,1616.0
P00377,Fashion,Footwear,2583.0
P00378,Home & Kitchen,Decor,24181.0
P00379,Books,Children's,1964.0
P00380,Home & Kitchen,Cookware,10682.0
P00381,Electronics,Audio,30430.0
P00382,Electronics,Cameras,28222.0
P00383,Electronics,Laptops,20534.0
P00384,Home & Kitchen,Decor,11747.0
P00385,Home & Kitchen,Cookware,16978.0
P00386,Grocery,Personal Care,1654.0
P00387,Grocery,Staples,812.0
P00388,Grocery,Snacks,232.0
P00389,Fashion,Footwear,4190.0
P00390,Grocery,Personal Care,1335.0
P00391,Books,Fiction,2546.0
P00392,Home & Kitchen,Decor,9450.0
P00393,Home & Kitchen,Decor,16236.0
P00394,Electronics,Smartphones,48919.0
P00395,Fashion,Footwear,2528.0
P00396,Fashion,Footwear,1043.0
P00397,Fashion,Watches,698.0
P00398,Fashion,Footwear,7909.0
P00399,Grocery,Personal Care,1292.0
P00400,Home & Kitchen,Decor,21558.0
P00401,Home & Kitchen,Furniture,6640.0
P00402,Electronics,Laptops,57032.0
P00403,Electronics,Audio,71444.0
P00404,Fashion,Watches,2531.0
P00405,Home & Kitchen,Furniture,3876.0
P00406,Home & Kitchen,Decor,19172.0
P00407,Fashion,Watches,7218.0
P00408,Fashion,Men's Clothing,6482.0
P00409,Electronics,Accessories,64288.0
P00410,Electronics,Accessories,48203.0
P00411,Electronics,Laptops,53012.0
P00412,Fashion,Watches,5510.0
P00413,Grocery,Beverages,1451.0
P00414,Electronics,Audio,52604.0
P00415,Fashion,Watches,7980.0
P00416,Fashion,Watches,2224.0
P00417,Fashion,Women's Clothing,3465.0
P00418,Fashion,Watches,3229.0
P00419,Fashion,Women's Clothing,475.0
P00420,Home & Kitchen,Cookware,17746.0
P00421,Home & Kitchen,Decor,14365.0
P00422,Electronics,Cameras,15598.0
P00423,Fashion,Footwear,5867.0
P00424,Grocery,Staples,468.0
P00425,Fashion,Women's Clothing,4370.0
P00426,Electronics,Accessories,62899.0
P00427,Fashion,Women's Clothing,7271.0
P00428,Electronics,Laptops,53914.0
P00429,Fashion,Women's Clothing,4157.0
P00430,Fashion,Men's Clothing,6794.0
P00431,Grocery,Staples,1686.0
P00432,Fashion,Women's Clothing,7037.0
P00433,Electronics,Audio,14900.0
P00434,Grocery,Staples,222.0
P00435,Grocery,Personal Care,282.0
P00436,Electronics,Audio,21063.0
P00437,Electronics,Cameras,64763.0
P00438,Electronics,Laptops,61152.0
P00439,Electronics,Audio,15054.0
P00440,Books,Children's,2071.0
P00441,Electronics,Audio,27183.0
P00442,Home & Kitchen,Furniture,2369.0
P00443,Fashion,Women's Clothing,2971.0
P00444,Grocery,Staples,1496.0
P00445,Fashion,Men's Clothing,2595.0
P00446,Grocery,Personal Care,1583.0
P00447,Grocery,Snacks,683.0
P00448,Fashion,Women's Clothing,2232.0
P00449,Electronics,Cameras,23877.0
P00450,Books,Children's,2569.0
P00451,Books,Fiction,1465.0
P00452,Electronics,Cameras,69378.0
P00453,Electronics,Laptops,46894.0
P00454,Grocery,Staples,1890.0
P00455,Books,Children's,307.0
P00456,Grocery,Snacks,1782.0
P00457,Home & Kitchen,Appliances,12587.0
P00458,Fashion,Footwear,6966.0
P00459,Electronics,Audio,30843.0
P00460,Electronics,Cameras,24219.0
P00461,Fashion,Watches,622.0
P00462,Home & Kitchen,Appliances,21378.0
P00463,Electronics,Laptops,11421.0
P00464,Grocery,Personal Care,425.0
P00465,Home & Kitchen,Appliances,10318.0
P00466,Fashion,Footwear,4641.0
P00467,Fashion,Women's Clothing,7272.0
P00468,Fashion,Footwear,3769.0
P00469,Grocery,Personal Care,653.0
P00470,Home & Kitchen,Furniture,17934.0
P00471,Books,Academic,2359.0
P00472,Home & Kitchen,Appliances,12266.0
P00473,Fashion,Men's Clothing,5122.0
P00474,Electronics,Accessories,14558.0
P00475,Electronics,Laptops,50943.0
P00476,Electronics,Accessories,875.0
P00477,Fashion,Footwear,2334.0
P00478,Fashion,Footwear,6137.0
P00479,Home & Kitchen,Cookware,4340.0
P00480,Electronics,Laptops,61276.0
P00481,Electronics,Laptops,39421.0
P00482,Fashion,Women's Clothing,6156.0
P00483,Home & Kitchen,Appliances,2338.0
P00484,Electronics,Laptops,49351.0
P00485,Electronics,Laptops,50862.0
P00486,Grocery,Staples,825.0
P00487,Fashion,Watches,7730.0
P00488,Books,Children's,1212.0
P00489,Fashion,Footwear,494.0
P00490,Books,Children's,678.0
P00491,Books,Children's,1182.0
P00492,Electronics,Smartphones,1619.0
P00493,Fashion,Women's Clothing,2713.0
P00494,Fashion,Watches,6699.0
P00495,Fashion,Watches,1686.0
P00496,Electronics,Cameras,54301.0
P00497,Home & Kitchen,Cookware,15723.0
P00498,Electronics,Cameras,20281.0
P00499,Home & Kitchen,Appliances,17384.0
P00500,Grocery,Personal Care,708.0
P00501,Fashion,Men's Clothing,1206.0
P00502,Grocery,Beverages,786.0
P00503,Books,Academic,1807.0
P00504,Fashion,Watches,1503.0
P00505,Electronics,Audio,65996.0
P00506,Fashion,Women's Clothing,2526.0
P00507,Fashion,Watches,2468.0
P00508,Electronics,Laptops,58363.0
P00509,Grocery,Beverages,1205.0
P00510,Fashion,Watches,2835.0
P00511,Grocery,Personal Care,1779.0
P00512,Electronics,Smartphones,79640.0
P00513,Home & Kitchen,Appliances,8667.0
P00514,Fashion,Footwear,7231.0
P00515,Grocery,Personal Care,738.0
P00516,Electronics,Laptops,15480.0
P00517,Home & Kitchen,Appliances,23710.0
P00518,Fashion,Women's Clothing,7362.0
P00519,Books,Fiction,1270.0
P00520,Fashion,Watches,1982.0
P00521,Electronics,Cameras,58310.0
P00522,Grocery,Staples,288.0
P00523,Grocery,Staples,1476.0
P00524,Fashion,Watches,4800.0
P00525,Home & Kitchen,Furniture,4349.0
P00526,Fashion,Watches,3059.0
P00527,Electronics,Laptops,52218.0
P00528,Electronics,Smartphones,3470.0
P00529,Home & Kitchen,Decor,21932.0
P00530,Fashion,Watches,2195.0
P00531,Grocery,Beverages,1083.0
P00532,Electronics,Laptops,4363.0
P00533,Fashion,Watches,7959.0
P00534,Grocery,Beverages,1334.0
P00535,Fashion,Footwear,5298.0
P00536,Books,Children's,157.0
P00537,Grocery,Beverages,1389.0
P00538,Books,Children's,1309.0
P00539,Electronics,Accessories,30730.0
P00540,Books,Fiction,1687.0
P00541,Grocery,Personal Care,965.0
P00542,Fashion,Men's Clothing,1394.0
P00543,Home & Kitchen,Cookware,17426.0
P00544,Grocery,Beverages,1272.0
P00545,Grocery,Snacks,623.0
P00546,Electronics,Smartphones,53102.0
P00547,Grocery,Staples,1335.0
P00548,Fashion,Men's Clothing,2306.0
P00549,Fashion,Women's Clothing,4924.0
P00550,Books,Non-Fiction,498.0
P00551,Electronics,Smartphones,66537.0
P00552,Home & Kitchen,Furniture,2757.0
P00553,Fashion,Women's Clothing,5806.0
P00554,Electronics,Laptops,9860.0
P00555,Home & Kitchen,Appliances,2983.0
P00556,Grocery,Staples,239.0
P00557,Fashion,Women's Clothing,1749.0
P00558,Fashion,Watches,1758.0
P00559,Fashion,Footwear,2251.0
P00560,Electronics,Accessories,42090.0
P00561,Home & Kitchen,Furniture,5162.0
P00562,Electronics,Cameras,56423.0
P00563,Home & Kitchen,Cookware,7489.0
P00564,Home & Kitchen,Furniture,1129.0
P00565,Books,Academic,1539.0
P00566,Electronics,Smartphones,17012.0
P00567,Fashion,Men's Clothing,7478.0
P00568,Grocery,Beverages,681.0
P00569,Home & Kitchen,Appliances,218.0
P00570,Electronics,Audio,53895.0
P00571,Home & Kitchen,Furniture,22686.0
P00572,Electronics,Smartphones,66901.0
P00573,Fashion,Women's Clothing,5418.0
P00574,Electronics,Smartphones,12357.0
P00575,Electronics,Accessories,7662.0
P00576,Home & Kitchen,Cookware,12866.0
P00577,Electronics,Cameras,58023.0
P00578,Grocery,Staples,230.0
P00579,Electronics,Accessories,20843.0
P00580,Home & Kitchen,Appliances,5894.0
P00581,Home & Kitchen,Decor,24718.0
P00582,Grocery,Staples,613.0
P00583,Home & Kitchen,Decor,11687.0
P00584,Grocery,Staples,227.0
P00585,Fashion,Watches,1563.0
P00586,Fashion,Watches,508.0
P00587,Grocery,Staples,602.0
P00588,Fashion,Watches,6452.0
P00589,Electronics,Accessories,25360.0
P00590,Electronics,Audio,59214.0
P00591,Grocery,Snacks,217.0
P00592,Fashion,Watches,6114.0
P00593,Books,Non-Fiction,233.0
P00594,Fashion,Footwear,6846.0
P00595,Electronics,Cameras,53237.0
P00596,Fashion,Watches,1530.0
P00597,Grocery,Personal Care,734.0
P00598,Fashion,Watches,3614.0
P00599,Grocery,Beverages,1255.0
P00600,Electronics,Accessories,70339.0
P00601,Home & Kitchen,Furniture,2460.0
P00602,Books,Fiction,2463.0
P00603,Electronics,Accessories,15038.0
P00604,Grocery,Personal Care,820.0
P00605,Electronics,Laptops,77004.0
P00606,Electronics,Audio,22111.0
P00607,Electronics,Cameras,31164.0
P00608,Fashion,Watches,6835.0
P00609,Home & Kitchen,Decor,20027.0
P00610,Home & Kitchen,Cookware,16274.0
P00611,Electronics,Audio,63854.0
P00612,Fashion,Footwear,1082.0
P00613,Electronics,Laptops,55846.0
P00614,Fashion,Watches,657.0
P00615,Grocery,Snacks,1887.0
P00616,Home & Kitchen,Decor,4111.0
P00617,Home & Kitchen,Decor,10488.0
P00618,Electronics,Accessories,47465.0
P00619,Grocery,Beverages,1610.0
P00620,Fashion,Footwear,5491.0
P00621,Fashion,Men's Clothing,1614.0
P00622,Electronics,Cameras,30690.0
P00623,Electronics,Laptops,29009.0
P00624,Home & Kitchen,Cookware,866.0
P00625,Electronics,Laptops,54915.0
P00626,Home & Kitchen,Appliances,20988.0
P00627,Electronics,Audio,77889.0
P00628,Fashion,Women's Clothing,1219.0
P00629,Home & Kitchen,Appliances,23022.0
P00630,Electronics,Audio,9479.0
P00631,Books,Children's,1293.0
P00632,Grocery,Staples,121.0
P00633,Electronics,Smartphones,21298.0
P00634,Home & Kitchen,Decor,7959.0
P00635,Books,Non-Fiction,2143.0
P00636,Electronics,Audio,54395.0
P00637,Home & Kitchen,Furniture,19223.0
P00638,Books,Academic,1772.0
P00639,Electronics,Cameras,45418.0
P00640,Electronics,Accessories,78243.0
P00641,Grocery,Personal Care,1350.0
P00642,Books,Academic,1081.0
P00643,Grocery,Personal Care,1061.0
P00644,Fashion,Footwear,5665.0
P00645,Electronics,Accessories,8072.0
P00646,Books,Children's,2019.0
P00647,Electronics,Accessories,20262.0
P00648,Electronics,Accessories,27987.0
P00649,Fashion,Footwear,5475.0
P00650,Fashion,Women's Clothing,3202.0
P00651,Electronics,Smartphones,67203.0
P00652,Electronics,Laptops,44888.0
P00653,Electronics,Accessories,79029.0
P00654,Electronics,Smartphones,4838.0
P00655,Books,Non-Fiction,1966.0
P00656,Electronics,Laptops,12976.0
P00657,Home & Kitchen,Furniture,21244.0
P00658,Home & Kitchen,Appliances,21319.0
P00659,Grocery,Beverages,1743.0
P00660,Grocery,Beverages,177.0
P00661,Fashion,Men's Clothing,4035.0
P00662,Grocery,Snacks,505.0
P00663,Home & Kitchen,Decor,24258.0
P00664,Home & Kitchen,Furniture,1401.0
P00665,Electronics,Accessories,18205.0
P00666,Electronics,Laptops,51644.0
P00667,Fashion,Footwear,3346.0
P00668,Electronics,Smartphones,19182.0
P00669,Books,Non-Fiction,1431.0
P00670,Fashion,Footwear,6450.0
P00671,Electronics,Smartphones,36124.0
P00672,Grocery,Staples,1717.0
P00673,Fashion,Footwear,3687.0
P00674,Electronics,Laptops,9937.0
P00675,Electronics,Audio,40041.0
P00676,Electronics,Smartphones,52443.0
P00677,Grocery,Staples,232.0
P00678,Home & Kitchen,Decor,10397.0
P00679,Books,Children's,1716.0
P00680,Grocery,Personal Care,30.0
P00681,Grocery,Personal Care,209.0
P00682,Electronics,Accessories,48534.0
P00683,Electronics,Laptops,49716.0
P00684,Fashion,Men's Clothing,2576.0
P00685,Home & Kitchen,Decor,12782.0
P00686,Fashion,Watches,1813.0
P00687,Electronics,Smartphones,53882.0
P00688,Books,Fiction,2856.0
P00689,Fashion,Watches,3034.0
P00690,Electronics,Audio,4815.0
P00691,Grocery,Staples,469.0
P00692,Grocery,Staples,925.0
P00693,Books,Non-Fiction,1724.0
P00694,Home & Kitchen,Furniture,15551.0
P00695,Electronics,Cameras,38114.0
P00696,Fashion,Footwear,5326.0
P00697,Fashion,Men's Clothing,5784.0
P00698,Fashion,Women's Clothing,1089.0
P00699,Electronics,Smartphones,60866.0
P00700,Fashion,Watches,1930.0
P00701,Fashion,Women's Clothing,2863.0
P00702,Electronics,Cameras,66476.0
P00703,Grocery,Personal Care,1930.0
P00704,Electronics,Audio,23713.0
P00705,Electronics,Audio,41998.0
P00706,Books,Academic,2136.0
P00707,Grocery,Personal Care,120.0
P00708,Grocery,Beverages,353.0
P00709,Fashion,Men's Clothing,1296.0
P00710,Electronics,Cameras,57490.0
P00711,Electronics,Smartphones,57864.0
